0,Symbol,Sequence_ID,Chromosome/scaffold name,Transcript start (bp),Transcript end (bp),DecodePub_Protein(short name),DecodePub_Protein(full name),DecodePub_Gene,DecodePub_UniProt,DecodePub_Ensembl.Gene.ID,DecodePub_Entrez.Gene.ID,DecodePub_HGNC.ID
10496_11_CLCA1_CaCC.txt.gz,CLCA1,10496_11,1,86468368.0,86500259.0,CaCC,Calcium-activated chloride channel regulator 1,CLCA1,A8K7I4,ENSG00000016490,1179,HGNC:2015
10499_1_TMEM106A_T106A.txt.gz,TMEM106A,10499_1,17,43211835.0,43220041.0,T106A,Transmembrane protein 106A,TMEM106A,Q96A25,ENSG00000184988,113277,HGNC:28288
10506_53_PGRMC2_PGRC2.txt.gz,PGRMC2,10506_53,4,128269237.0,128288829.0,PGRC2,Membrane-associated progesterone receptor component 2,PGRMC2,O15173,ENSG00000164040,10424,HGNC:16089
10507_166_ACRV1_sperm_protein_10.txt.gz,ACRV1,10507_166,11,125671522.0,125680874.0,sperm protein 10,Acrosomal protein SP-10,ACRV1,P26436,ENSG00000134940,56,HGNC:127
10510_62_SCIMP_SCIMP.txt.gz,SCIMP,10510_62,17,5208920.0,5234860.0,SCIMP,SLP adapter and CSK-interacting membrane protein,SCIMP,Q6UWF3,ENSG00000161929,388325,HGNC:33504
10511_10_COL6A3_Collagen_alpha_3_VI_.txt.gz,COL6A3,10511_10,2,237324003.0,237414328.0,Collagen alpha-3(VI),Collagen alpha-3(VI) chain,COL6A3,P12111,ENSG00000163359,1293,HGNC:2213
10512_13_CSF2RB_IL3RB.txt.gz,CSF2RB,10512_13,22,36913628.0,36940439.0,IL3RB,Cytokine receptor common subunit beta,CSF2RB,P32927,ENSG00000100368,1439,HGNC:2436
10513_13_KCNIP3_CSEN.txt.gz,KCNIP3,10513_13,2,95297327.0,95386077.0,CSEN,Calsenilin,KCNIP3,Q9Y2W7,ENSG00000115041,30818,HGNC:15523
10514_5_PTGDS_PGD2_synthase.txt.gz,PTGDS,10514_5,9,136975092.0,136981742.0,PGD2 synthase,Prostaglandin-H2 D-isomerase,PTGDS,P41222,ENSG00000107317,5730,HGNC:9592
10521_10_MXRA8_MXRA8.txt.gz,MXRA8,10521_10,1,1352689.0,1361777.0,MXRA8,Matrix-remodeling-associated protein 8,MXRA8,Q9BRK3,ENSG00000162576,54587,HGNC:7542
10527_22_DHX9_DHX9.txt.gz,DHX9,10527_22,1,182839347.0,182887982.0,DHX9,ATP-dependent RNA helicase A,DHX9,Q08211,ENSG00000135829,1660,HGNC:2750
10530_8_PSMB6_PSB6.txt.gz,PSMB6,10530_8,17,4796144.0,4798502.0,PSB6,Proteasome subunit beta type-6,PSMB6,P28072,ENSG00000142507,5694,HGNC:9543
10531_18_NRAS_RASN.txt.gz,NRAS,10531_18,1,114704469.0,114716771.0,RASN,GTPase NRas,NRAS,P01111,ENSG00000213281,4893,HGNC:7989
10534_40_PARP1_PARP.txt.gz,PARP1,10534_40,1,226360210.0,226408154.0,PARP,Poly [ADP-ribose] polymerase 1,PARP1,P09874,ENSG00000143799,142,HGNC:270
10535_25_COX6A2_CX6A2.txt.gz,COX6A2,10535_25,16,31427731.0,31428360.0,CX6A2,"Cytochrome c oxidase subunit 6A2, mitochondrial",COX6A2,Q02221,ENSG00000156885,1339,HGNC:2279
10539_30_CD99L2_C99L2.txt.gz,CD99L2,10539_30,X,150766336.0,150898816.0,C99L2,CD99 antigen-like protein 2,CD99L2,Q8TCZ2,ENSG00000102181,83692,HGNC:18237
10546_2_TSPEAR_TSEAR.txt.gz,TSPEAR,10546_2,21,44497893.0,44711572.0,TSEAR,Thrombospondin-type laminin G domain and EAR repeat-containing protein,TSPEAR,Q8WU66,ENSG00000175894,54084,HGNC:1268
10550_37_BMPR1B_BMP_RIB.txt.gz,BMPR1B,10550_37,4,94757955.0,95158448.0,BMP RIB,Bone morphogenetic protein receptor type-1B,BMPR1B,O00238,ENSG00000138696,658,HGNC:1077
10551_7_LAT_LAT.txt.gz,LAT,10551_7,16,28984826.0,28990784.0,LAT,Linker for activation of T-cells family member 1,LAT,O43561,ENSG00000213658,27040,HGNC:18874
10552_88_KLRC4_NKG2F.txt.gz,KLRC4,10552_88,12,10407384.0,10409757.0,NKG2F,NKG2-F type II integral membrane protein,KLRC4,O43908,ENSG00000183542,8302,HGNC:6377
10553_8_TOR1AIP2_TOIP2.txt.gz,TOR1AIP2,10553_8,1,179839967.0,179877803.0,TOIP2,Torsin-1A-interacting protein 2,TOR1AIP2,Q8NFQ8,ENSG00000169905,163590,HGNC:24055
10554_23_GLB1_BGAL.txt.gz,GLB1,10554_23,3,32996609.0,33097202.0,BGAL,Beta-galactosidase,GLB1,P16278,ENSG00000170266,2720,HGNC:4298
10557_6_TEX29_TEX29.txt.gz,TEX29,10557_6,13,111316184.0,111344249.0,TEX29,Testis-expressed sequence 29 protein,TEX29,Q8N6K0,ENSG00000153495,121793,HGNC:20370
10558_26_PCDH9_PCDH9.txt.gz,PCDH9,10558_26,13,66302834.0,67230445.0,PCDH9,Protocadherin-9,PCDH9,Q9HC56,ENSG00000184226,5101,HGNC:8661
10560_1_ITM2C_ITM2C.txt.gz,ITM2C,10560_1,2,230864639.0,230879248.0,ITM2C,Integral membrane protein 2C,ITM2C,Q9NQX7,ENSG00000135916,81618,HGNC:6175
10561_5_PGLYRP3_PGRP_I_alpha.txt.gz,PGLYRP3,10561_5,1,153297116.0,153312952.0,PGRP-I-alpha,Peptidoglycan recognition protein 3,PGLYRP3,Q96LB9,ENSG00000159527,114771,HGNC:30014
10562_42_NETO2_NETO2.txt.gz,NETO2,10562_42,16,47077703.0,47143945.0,NETO2,Neuropilin and tolloid-like protein 2,NETO2,Q8NC67,ENSG00000171208,81831,HGNC:14644
10563_13_LYSMD3_LYSM3.txt.gz,LYSMD3,10563_13,5,90515611.0,90529584.0,LYSM3,LysM and putative peptidoglycan-binding domain-containing protein 3,LYSMD3,Q7Z3D4,ENSG00000176018,116068,HGNC:26969
10565_19_SLITRK3_SLIK3.txt.gz,SLITRK3,10565_19,3,165186720.0,165197109.0,SLIK3,SLIT and NTRK-like protein 3,SLITRK3,O94933,ENSG00000121871,22865,HGNC:23501
10569_28_SCGB1A1_Urinary_protein_1.txt.gz,SCGB1A1,10569_28,1,16974502.0,16980632.0,MFAP2,Microfibrillar-associated protein 2,MFAP2,P55001,ENSG00000117122,4237,HGNC:7033
10571_14_MGAT1_MGAT1.txt.gz,MGAT1,10571_14,5,180784780.0,180815652.0,MGAT1,"Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase",MGAT1,P26572,ENSG00000131446,4245,HGNC:7044
10572_65_CST8_CST8.txt.gz,CST8,10572_65,20,23491101.0,23496010.0,CST8,Cystatin-8,CST8,O60676,ENSG00000125815,10047,HGNC:2480
10574_10_AXL_AXL.txt.gz,AXL,10574_10,15,44711358.0,44718851.0,b2-Microglobulin,Beta-2-microglobulin,B2M,P61769,ENSG00000273686,567,HGNC:914
10575_31_PUF60_PUF60.txt.gz,PUF60,10575_31,8,143816344.0,143830709.0,PUF60,Poly(U)-binding-splicing factor PUF60,PUF60,Q9UHX1,ENSG00000179950,22827,HGNC:17042
10580_14_SFTA2_SFTA2.txt.gz,SFTA2,10580_14,6,30931353.0,30955636.0,SFTA2,Surfactant-associated protein 2,SFTA2,Q6UW10,ENSG00000225454,389376,HGNC:18386
10582_36_POMK_SG196.txt.gz,POMK,10582_36,8,43093498.0,43131180.0,SG196,Protein O-mannose kinase,POMK,Q9H5K3,,84197,HGNC:26267
10583_1_TMEM108_TM108.txt.gz,TMEM108,10583_1,3,133038391.0,133397775.0,TM108,Transmembrane protein 108,TMEM108,Q6UXF1,ENSG00000144868,66000,HGNC:28451
10584_7_NDUFS4_NDUS4.txt.gz,NDUFS4,10584_7,5,53560633.0,53683338.0,NDUS4,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial",NDUFS4,O43181,ENSG00000164258,4724,HGNC:7711
10588_39_ST3GAL5_SIAT9.txt.gz,ST3GAL5,10588_39,2,85837120.0,85905199.0,SIAT9,"Lactosylceramide alpha-2,3-sialyltransferase",ST3GAL5,Q9UNP4,ENSG00000115525,8869,HGNC:10872
10589_7_RAET1L_RET1L.txt.gz,RAET1L,10589_7,6,150018334.0,150025532.0,RET1L,Retinoic acid early transcript 1L protein,RAET1L,Q5VY80,ENSG00000155918,154064,HGNC:16798
10600_24_CLGN_CLGN.txt.gz,CLGN,10600_24,4,140388453.0,140427661.0,CLGN,Calmegin,CLGN,O14967,ENSG00000153132,4312,HGNC:2060
10603_1_HTN3_HIS3.txt.gz,HTN3,10603_1,4,70028455.0,70036538.0,HIS3,Histatin-3,HTN3,P15516,ENSG00000205649,3347,HGNC:5284
10605_22_APMAP_APMAP.txt.gz,APMAP,10605_22,20,24962925.0,24992751.0,APMAP,Adipocyte plasma membrane-associated protein,APMAP,Q9HDC9,ENSG00000101474,57136,HGNC:13238
10606_34_TOR1AIP1_TOIP1.txt.gz,TOR1AIP1,10606_34,1,179882042.0,179920077.0,TOIP1,Torsin-1A-interacting protein 1,TOR1AIP1,Q5JTV8,ENSG00000143337,26092,HGNC:29456
10608_9_HTN1_HIS1.txt.gz,HTN1,10608_9,4,70050438.0,70058848.0,HIS1,Histatin-1,HTN1,P15515,ENSG00000126550,3346,HGNC:5283
10612_18_PLOD3_PLOD3.txt.gz,PLOD3,10612_18,7,101205977.0,101218420.0,PLOD3,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3",PLOD3,O60568,ENSG00000106397,8985,HGNC:9083
10613_33_CASC4_CASC4.txt.gz,CASC4,10613_33,15,44288719.0,44415758.0,CASC4,Protein CASC4,CASC4,Q6P4E1,ENSG00000166734,113201,HGNC:24892
10615_18_MPZ_MYP0.txt.gz,MPZ,10615_18,1,161304735.0,161309968.0,MYP0,Myelin protein P0,MPZ,P25189,ENSG00000158887,4359,HGNC:7225
10616_67_PODXL2_PDXL2.txt.gz,PODXL2,10616_67,3,127629185.0,127672802.0,PDXL2,Podocalyxin-like protein 2,PODXL2,Q9NZ53,ENSG00000114631,50512,HGNC:17936
10618_190_LRP2_megalin.txt.gz,LRP2,10618_190,2,169127109.0,169362534.0,megalin,Low-density lipoprotein receptor-related protein 2,LRP2,P98164,ENSG00000081479,4036,HGNC:6694
10620_21_MSMB_PSP_94.txt.gz,MSMB,10620_21,10,46033307.0,46048180.0,PSP-94,Beta-microseminoprotein,MSMB,P08118,ENSG00000138294,4477,HGNC:7372
