Protein,DECODE_exposure,DCODE_seqid,uniprot,DCODE_target_name,DCODE_target_full_name,DCODE_gene_name,DCODE_platform,DCODE_HGNC,DCODE_Approved symbol,DCODE_Approved name,DCODE_OMIM_Gene_ID,DCODE_Ensembl_gene_ID,DCODE_NCBI_Gene_ID
PLA2R1,PLA2R1_10916_44,SeqId.10916-44,Q13018,PLA2R,Secretory phospholipase A2 receptor,PLA2R1,SomaScan v4,9042,PLA2R1,phospholipase A2 receptor 1,604939,ENSG00000153246,22925
PLAT,PLAT_2212_69,SeqId.2212-69,P00750,tPA,Tissue-type plasminogen activator,PLAT,SomaScan v4,9051,PLAT,"plasminogen activator, tissue type",173370,ENSG00000104368,5327
PLAU,PLAU_4158_54,SeqId.4158-54,P00749,uPA,Urokinase-type plasminogen activator,PLAU,SomaScan v4,9052,PLAU,"plasminogen activator, urokinase",191840,ENSG00000122861,5328
PLCG2,PLCG2_10070_22,SeqId.10070-22,P16885,PLCG2,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2",PLCG2,SomaScan v4,9066,PLCG2,phospholipase C gamma 2,600220,ENSG00000197943,5336
PLD3,PLD3_10948_14,SeqId.10948-14,Q8IV08,PLD3,Phospholipase D3,PLD3,SomaScan v4,17158,PLD3,phospholipase D family member 3,615698,ENSG00000105223,23646
PLEK,PLEK_7875_86,SeqId.7875-86,P08567,PLEK,Pleckstrin,PLEK,SomaScan v4,9070,PLEK,pleckstrin,173570,ENSG00000115956,5341
PLEKHA1,PLEKHA1_12459_13,SeqId.12459-13,Q9HB21,PKHA1,Pleckstrin homology domain-containing family A member 1,PLEKHA1,SomaScan v4,14335,PLEKHA1,pleckstrin homology domain containing A1,607772,ENSG00000107679,59338
PLEKHA7,PLEKHA7_12731_12,SeqId.12731-12,Q6IQ23,PKHA7,Pleckstrin homology domain-containing family A member 7,PLEKHA7,SomaScan v4,27049,PLEKHA7,pleckstrin homology domain containing A7,612686,ENSG00000166689,144100
PLG,PLG_3710_49,SeqId.3710-49,P00747,Angiostatin,Angiostatin,PLG,SomaScan v4,9071,PLG,plasminogen,173350,ENSG00000122194,5340
PLG,PLG_4151_6,SeqId.4151-6,P00747,Plasminogen,Plasminogen,PLG,SomaScan v4,9071,PLG,plasminogen,173350,ENSG00000122194,5340
PLOD2,PLOD2_6923_1,SeqId.6923-1,O00469,PLOD2,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2",PLOD2,SomaScan v4,9082,PLOD2,"procollagen-lysine,2-oxoglutarate 5-dioxygenase 2",601865,ENSG00000152952,5352
PLOD3,PLOD3_10612_18,SeqId.10612-18,O60568,PLOD3,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3",PLOD3,SomaScan v4,9083,PLOD3,"procollagen-lysine,2-oxoglutarate 5-dioxygenase 3",603066,ENSG00000106397,8985
PLTP,PLTP_15475_4,SeqId.15475-4,P55058,PLTP,Phospholipid transfer protein,PLTP,SomaScan v4,9093,PLTP,phospholipid transfer protein,172425,ENSG00000100979,5360
PLXNA1,PLXNA1_9005_16,SeqId.9005-16,Q9UIW2,PLXA1,Plexin-A1,PLXNA1,SomaScan v4,9099,PLXNA1,plexin A1,601055,ENSG00000114554,5361
PLXNA4,PLXNA4_19560_23,SeqId.19560-23,Q9HCM2,PLXA4,Plexin-A4,PLXNA4,SomaScan v4,9102,PLXNA4,plexin A4,604280,ENSG00000221866,91584
PLXNB2,PLXNB2_9216_100,SeqId.9216-100,O15031,PLXB2,Plexin-B2,PLXNB2,SomaScan v4,9104,PLXNB2,plexin B2,604293,ENSG00000196576,23654
PLXND1,PLXND1_19561_216,SeqId.19561-216,Q9Y4D7,PLXD1,Plexin-D1,PLXND1,SomaScan v4,9107,PLXND1,plexin D1,604282,ENSG00000004399,23129
PMEL,PMEL_6472_40,SeqId.6472-40,P40967,GP100,Melanocyte protein PMEL,PMEL,SomaScan v4,10880,PMEL,premelanosome protein,155550,ENSG00000185664,6490
PMM1,PMM1_17408_2,SeqId.17408-2,Q92871,PMM1,Phosphomannomutase 1,PMM1,SomaScan v4,9114,PMM1,phosphomannomutase 1,601786,ENSG00000100417,5372
PMM2,PMM2_17794_6,SeqId.17794-6,O15305,Phosphomannomutase 2,Phosphomannomutase 2,PMM2,SomaScan v4,9115,PMM2,phosphomannomutase 2,601785,ENSG00000140650,5373
PMVK,PMVK_12450_42,SeqId.12450-42,Q15126,PMVK,Phosphomevalonate kinase,PMVK,SomaScan v4,9141,PMVK,phosphomevalonate kinase,607622,ENSG00000163344,10654
PNLIPRP1,PNLIPRP1_6627_25,SeqId.6627-25,P54315,LIPR1,Inactive pancreatic lipase-related protein 1,PNLIPRP1,SomaScan v4,9156,PNLIPRP1,pancreatic lipase related protein 1,604422,ENSG00000187021,5407
PNLIPRP2,PNLIPRP2_15471_29,SeqId.15471-29,P54317,LIPR2,Pancreatic lipase-related protein 2,PNLIPRP2,SomaScan v4,9157,PNLIPRP2,pancreatic lipase related protein 2 (gene/pseudogene),604423,ENSG00000266200,5408
PNP,PNP_15435_4,SeqId.15435-4,P00491,PNP,Purine nucleoside phosphorylase,PNP,SomaScan v4,7892,PNP,purine nucleoside phosphorylase,164050,ENSG00000198805,4860
POFUT1,POFUT1_5634_39,SeqId.5634-39,Q9H488,OFUT1,GDP-fucose protein O-fucosyltransferase 1,POFUT1,SomaScan v4,14988,POFUT1,protein O-fucosyltransferase 1,607491,ENSG00000101346,23509
POGLUT1,POGLUT1_6467_65,SeqId.6467-65,Q8NBL1,KTEL1,Protein O-glucosyltransferase 1,POGLUT1,SomaScan v4,22954,POGLUT1,protein O-glucosyltransferase 1,615618,ENSG00000163389,56983
POLI,POLI_13536_56,SeqId.13536-56,Q9UNA4,POLI,DNA polymerase iota,POLI,SomaScan v4,9182,POLI,DNA polymerase iota,605252,ENSG00000101751,11201
NRBP1,NRBP1_12616_45,SeqId.12616-45,Q9UHY1,NRBP,Nuclear receptor-binding protein,NRBP1,SomaScan v4,7993,NRBP1,nuclear receptor binding protein 1,606010,ENSG00000115216,29959
NRCAM,NRCAM_5109_24,SeqId.5109-24,Q92823,Nr-CAM,Neuronal cell adhesion molecule,NRCAM,SomaScan v4,7994,NRCAM,neuronal cell adhesion molecule,601581,ENSG00000091129,4897
NRP1,NRP1_5542_22,SeqId.5542-22,O14786,NRP1,Neuropilin-1,NRP1,SomaScan v4,8004,NRP1,neuropilin 1,602069,ENSG00000099250,8829
NSFL1C,NSFL1C_4250_23,SeqId.4250-23,Q9UNZ2,NSF1C,NSFL1 cofactor p47,NSFL1C,SomaScan v4,15912,NSFL1C,NSFL1 cofactor,606610,ENSG00000088833,55968
NT5C,NT5C_12560_9,SeqId.12560-9,Q8TCD5,NT5C,"5'(3')-deoxyribonucleotidase, cytosolic type",NT5C,SomaScan v4,17144,NT5C,"5', 3'-nucleotidase, cytosolic",191720,ENSG00000125458,30833
NT5C3A,NT5C3A_19615_213,SeqId.19615-213,Q9H0P0,5NT3,Cytosolic 5'-nucleotidase 3A,NT5C3A,SomaScan v4,17820,NT5C3A,"5'-nucleotidase, cytosolic IIIA",606224,ENSG00000122643,51251
NT5DC3,NT5DC3_9126_171,SeqId.9126-171,Q86UY8,NT5D3,5'-nucleotidase domain-containing protein 3,NT5DC3,SomaScan v4,30826,NT5DC3,5'-nucleotidase domain containing 3,611076,ENSG00000111696,51559
NT5E,NT5E_15452_5,SeqId.15452-5,P21589,5'-Nucleotidase,5'-Nucleotidase,NT5E,SomaScan v4,8021,NT5E,5'-nucleotidase ecto,129190,ENSG00000135318,4907
NT5M,NT5M_17856_23,SeqId.17856-23,Q9NPB1,NT5M,"5'(3')-deoxyribonucleotidase, mitochondrial",NT5M,SomaScan v4,15769,NT5M,"5',3'-nucleotidase, mitochondrial",605292,ENSG00000205309,56953
NTF3,NTF3_4145_58,SeqId.4145-58,P20783,Neurotrophin-3,Neurotrophin-3,NTF3,SomaScan v4,8023,NTF3,neurotrophin 3,162660,ENSG00000185652,4908
NTM,NTM_10907_116,SeqId.10907-116,Q9P121,NTRI,Neurotrimin,NTM,SomaScan v4,17941,NTM,neurotrimin,607938,ENSG00000182667,50863
NTM,NTM_8428_102,SeqId.8428-102,Q9P121,NTRI,Neurotrimin,NTM,SomaScan v4,17941,NTM,neurotrimin,607938,ENSG00000182667,50863
NTN1,NTN1_6649_51,SeqId.6649-51,O95631,NET1,Netrin-1,NTN1,SomaScan v4,8029,NTN1,netrin 1,601614,ENSG00000065320,9423
NTNG1,NTNG1_5637_81,SeqId.5637-81,Q9Y2I2,NTNG1,Netrin-G1,NTNG1,SomaScan v4,23319,NTNG1,netrin G1,608818,ENSG00000162631,22854
NUCB1,NUCB1_10451_11,SeqId.10451-11,Q02818,NUCB1,Nucleobindin-1,NUCB1,SomaScan v4,8043,NUCB1,nucleobindin 1,601323,ENSG00000104805,4924
NUDCD3,NUDCD3_4254_6,SeqId.4254-6,Q8IVD9,NUDC3,NudC domain-containing protein 3,NUDCD3,SomaScan v4,22208,NUDCD3,NudC domain containing 3,610296,ENSG00000015676,23386
NUDT12,NUDT12_13947_371,SeqId.13947-371,Q9BQG2,NUD12,Peroxisomal NADH pyrophosphatase NUDT12,NUDT12,SomaScan v4,18826,NUDT12,nudix hydrolase 12,609232,ENSG00000112874,83594
NUDT2,NUDT2_16583_8,SeqId.16583-8,P50583,AP4A,Bis(5'-nucleosyl)-tetraphosphatase [asymmetrical],NUDT2,SomaScan v4,8049,NUDT2,nudix hydrolase 2,602852,ENSG00000164978,318
NUDT5,NUDT5_17761_2,SeqId.17761-2,Q9UKK9,NUDT5,ADP-sugar pyrophosphatase,NUDT5,SomaScan v4,8052,NUDT5,nudix hydrolase 5,609230,ENSG00000165609,11164
NUDT9,NUDT9_9482_110,SeqId.9482-110,Q9BW91,NUDT9,"ADP-ribose pyrophosphatase, mitochondrial",NUDT9,SomaScan v4,8056,NUDT9,nudix hydrolase 9,606022,ENSG00000170502,53343
OAF,OAF_6414_8,SeqId.6414-8,Q86UD1,OAF,Out at first protein homolog,OAF,SomaScan v4,28752,OAF,out at first homolog,0,ENSG00000184232,220323
OBP2B,OBP2B_5680_54,SeqId.5680-54,Q9NPH6,OBP2B,Odorant-binding protein 2b,OBP2B,SomaScan v4,23381,OBP2B,odorant binding protein 2B,604606,ENSG00000171102,29989
OGN,OGN_17224_12,SeqId.17224-12,P20774,MIME,Mimecan,OGN,SomaScan v4,8126,OGN,osteoglycin,602383,ENSG00000106809,4969
OLA1,OLA1_12659_13,SeqId.12659-13,Q9NTK5,GTPB9,Obg-like ATPase 1,OLA1,SomaScan v4,28833,OLA1,Obg like ATPase 1,611175,ENSG00000138430,29789
OLFM1,OLFM1_5703_26,SeqId.5703-26,Q99784,NOE1,Noelin,OLFM1,SomaScan v4,17187,OLFM1,olfactomedin 1,605366,ENSG00000130558,10439
OLFM2,OLFM2_19377_14,SeqId.19377-14,O95897,NOE2,Noelin-2,OLFM2,SomaScan v4,17189,OLFM2,olfactomedin 2,617492,ENSG00000105088,93145
OLFML3,OLFML3_8660_5,SeqId.8660-5,Q9NRN5,OLFL3,Olfactomedin-like protein 3,OLFML3,SomaScan v4,24956,OLFML3,olfactomedin like 3,610088,ENSG00000116774,56944
OLR1,OLR1_16049_43,SeqId.16049-43,P78380,OLR1,Oxidized low-density lipoprotein receptor 1,OLR1,SomaScan v4,8133,OLR1,oxidized low density lipoprotein receptor 1,602601,ENSG00000173391,4973
OMD,OMD_5358_3,SeqId.5358-3,Q99983,OMD,Osteomodulin,OMD,SomaScan v4,8134,OMD,osteomodulin,618926,ENSG00000127083,4958
OMG,OMG_16908_5,SeqId.16908-5,P23515,OMGP,Oligodendrocyte-myelin glycoprotein,OMG,SomaScan v4,8135,OMG,oligodendrocyte myelin glycoprotein,164345,ENSG00000126861,4974
OPCML,OPCML_15622_13,SeqId.15622-13,Q14982,OBCAM,Opioid-binding protein/cell adhesion molecule,OPCML,SomaScan v4,8143,OPCML,opioid binding protein/cell adhesion molecule like,600632,ENSG00000183715,4978
HPSE,HPSE_5604_30,SeqId.5604-30,Q9Y251,HPSE,Heparanase,HPSE,SomaScan v4,5164,HPSE,heparanase,604724,ENSG00000173083,10855
HS3ST3B1,HS3ST3B1_6986_17,SeqId.6986-17,Q9Y662,HS3SB,Heparan sulfate glucosamine 3-O-sulfotransferase 3B1,HS3ST3B1,SomaScan v4,5198,HS3ST3B1,heparan sulfate-glucosamine 3-sulfotransferase 3B1,604058,ENSG00000125430,9953
HS6ST1,HS6ST1_5465_32,SeqId.5465-32,O60243,H6ST1,Heparan-sulfate 6-O-sulfotransferase 1,HS6ST1,SomaScan v4,5201,HS6ST1,heparan sulfate 6-O-sulfotransferase 1,604846,ENSG00000136720,9394
HS6ST3,HS6ST3_18896_23,SeqId.18896-23,Q8IZP7,H6ST3,Heparan-sulfate 6-O-sulfotransferase 3,HS6ST3,SomaScan v4,19134,HS6ST3,heparan sulfate 6-O-sulfotransferase 3,609401,ENSG00000185352,266722
HSD17B14,HSD17B14_13972_4,SeqId.13972-4,Q9BPX1,DHB14,17-beta-hydroxysteroid dehydrogenase 14,HSD17B14,SomaScan v4,23238,HSD17B14,hydroxysteroid 17-beta dehydrogenase 14,612832,ENSG00000087076,51171
HSP90B1,HSP90B1_6393_63,SeqId.6393-63,P14625,Endoplasmin,Endoplasmin,HSP90B1,SomaScan v4,12028,HSP90B1,heat shock protein 90 beta family member 1,191175,ENSG00000166598,7184
HSPA13,HSPA13_17515_6,SeqId.17515-6,P48723,STCH,Heat shock 70 kDa protein 13,HSPA13,SomaScan v4,11375,HSPA13,heat shock protein family A (Hsp70) member 13,601100,ENSG00000155304,6782
HSPA1B,HSPA1B_18901_26,SeqId.18901-26,P0DMV9,HS71B,Heat shock 70 kDa protein 1B,HSPA1B,SomaScan v4,5233,HSPA1B,heat shock protein family A (Hsp70) member 1B,603012,ENSG00000204388,3304
HSPA1L,HSPA1L_12041_33,SeqId.12041-33,P34931,HS71L,Heat shock 70 kDa protein 1-like,HSPA1L,SomaScan v4,5234,HSPA1L,heat shock protein family A (Hsp70) member 1 like,140559,ENSG00000204390,3305
HSPB1,HSPB1_11103_24,SeqId.11103-24,P04792,HSP 27,Heat shock protein beta-1,HSPB1,SomaScan v4,5246,HSPB1,heat shock protein family B (small) member 1,602195,ENSG00000106211,3315
HSPG2,HSPG2_15626_223,SeqId.15626-223,P98160,Perlecan,Basement membrane-specific heparan sulfate proteoglycan core protein,HSPG2,SomaScan v4,5273,HSPG2,heparan sulfate proteoglycan 2,142461,ENSG00000142798,3339
HTATIP2,HTATIP2_10630_5,SeqId.10630-5,Q9BUP3,HTAI2,Oxidoreductase HTATIP2,HTATIP2,SomaScan v4,16637,HTATIP2,HIV-1 Tat interactive protein 2,605628,ENSG00000109854,10553
HTATIP2,HTATIP2_7753_21,SeqId.7753-21,Q9BUP3,HTAI2,Oxidoreductase HTATIP2,HTATIP2,SomaScan v4,16637,HTATIP2,HIV-1 Tat interactive protein 2,605628,ENSG00000109854,10553
HTN3,HTN3_10603_1,SeqId.10603-1,P15516,HIS3,Histatin-3,HTN3,SomaScan v4,5284,HTN3,histatin 3,142702,ENSG00000205649,3347
HTRA1,HTRA1_15594_47,SeqId.15594-47,Q92743,HTRA1,Serine protease HTRA1,HTRA1,SomaScan v4,9476,HTRA1,HtrA serine peptidase 1,602194,ENSG00000166033,5654
HYAL1,HYAL1_8309_12,SeqId.8309-12,Q12794,HYAL1,Hyaluronidase-1,HYAL1,SomaScan v4,5320,HYAL1,hyaluronidase 1,607071,ENSG00000114378,3373
IBSP,IBSP_3415_61,SeqId.3415-61,P21815,BSP,Bone sialoprotein 2,IBSP,SomaScan v4,5341,IBSP,integrin binding sialoprotein,147563,ENSG00000029559,3381
ICAM1,ICAM1_4342_10,SeqId.4342-10,P05362,sICAM-1,Intercellular adhesion molecule 1,ICAM1,SomaScan v4,5344,ICAM1,intercellular adhesion molecule 1,147840,ENSG00000090339,3383
ICAM4,ICAM4_6550_4,SeqId.6550-4,Q14773,ICAM4,Intercellular adhesion molecule 4,ICAM4,SomaScan v4,5347,ICAM4,intercellular adhesion molecule 4 (Landsteiner-Wiener blood group),614088,ENSG00000105371,3386
ICAM5,ICAM5_5124_69,SeqId.5124-69,Q9UMF0,sICAM-5,Intercellular adhesion molecule 5,ICAM5,SomaScan v4,5348,ICAM5,intercellular adhesion molecule 5,601852,ENSG00000105376,7087
ICAM5,ICAM5_8245_27,SeqId.8245-27,Q9UMF0,sICAM-5,Intercellular adhesion molecule 5,ICAM5,SomaScan v4,5348,ICAM5,intercellular adhesion molecule 5,601852,ENSG00000105376,7087
ICOSLG,ICOSLG_5061_27,SeqId.5061-27,O75144,B7-H2,ICOS ligand,ICOSLG,SomaScan v4,17087,ICOSLG,inducible T cell costimulator ligand,605717,ENSG00000160223,23308
IDH1,IDH1_18338_26,SeqId.18338-26,O75874,IDH,Isocitrate dehydrogenase [NADP] cytoplasmic,IDH1,SomaScan v4,5382,IDH1,isocitrate dehydrogenase (NADP(+)) 1,147700,ENSG00000138413,3417
IDI1,IDI1_17712_7,SeqId.17712-7,Q13907,IDI1,Isopentenyl-diphosphate Delta-isomerase 1,IDI1,SomaScan v4,5387,IDI1,isopentenyl-diphosphate delta isomerase 1,604055,ENSG00000067064,3422
IDI2,IDI2_17832_12,SeqId.17832-12,Q9BXS1,IDI2,Isopentenyl-diphosphate delta-isomerase 2,IDI2,SomaScan v4,23487,IDI2,isopentenyl-diphosphate delta isomerase 2,615389,ENSG00000148377,91734
IDO1,IDO1_9759_13,SeqId.9759-13,P14902,INDO,"Indoleamine 2,3-dioxygenase 1",IDO1,SomaScan v4,6059,IDO1,"indoleamine 2,3-dioxygenase 1",147435,ENSG00000131203,3620
IDUA,IDUA_3169_70,SeqId.3169-70,P35475,IDUA,Alpha-L-iduronidase,IDUA,SomaScan v4,5391,IDUA,alpha-L-iduronidase,252800,ENSG00000127415,3425
IER3,IER3_9786_310,SeqId.9786-310,P46695,IEX1,Radiation-inducible immediate-early gene IEX-1,IER3,SomaScan v4,5392,IER3,immediate early response 3,602996,ENSG00000137331,8870
IFI16,IFI16_12893_159,SeqId.12893-159,Q16666,IP16,Gamma-interferon-inducible protein 16,IFI16,SomaScan v4,5395,IFI16,interferon gamma inducible protein 16,147586,ENSG00000163565,3428
IFI16,IFI16_13940_19,SeqId.13940-19,Q16666,IP16,Gamma-interferon-inducible protein 16,IFI16,SomaScan v4,5395,IFI16,interferon gamma inducible protein 16,147586,ENSG00000163565,3428
IFIT3,IFIT3_13642_90,SeqId.13642-90,O14879,CIG49,Interferon-induced protein with tetratricopeptide repeats 3,IFIT3,SomaScan v4,5411,IFIT3,interferon induced protein with tetratricopeptide repeats 3,604650,ENSG00000119917,3437
IFNAR1,IFNAR1_9183_7,SeqId.9183-7,P17181,IFN-a/b R1,Interferon alpha/beta receptor 1,IFNAR1,SomaScan v4,5432,IFNAR1,interferon alpha and beta receptor subunit 1,107450,ENSG00000142166,3454
IFNGR1,IFNGR1_5825_49,SeqId.5825-49,P15260,IFN-g R1,Interferon gamma receptor 1,IFNGR1,SomaScan v4,5439,IFNGR1,interferon gamma receptor 1,107470,ENSG00000027697,3459
BCAM,BCAM_2816_50,SeqId.2816-50,P50895,BCAM,Basal Cell Adhesion Molecule,BCAM,SomaScan v4,6722,BCAM,basal cell adhesion molecule (Lutheran blood group),612773,ENSG00000187244,4059
BCAN,BCAN_3461_58,SeqId.3461-58,Q96GW7,PGCB,Brevican core protein,BCAN,SomaScan v4,23059,BCAN,brevican,600347,ENSG00000132692,63827
BCAT2,BCAT2_19365_11,SeqId.19365-11,O15382,BCAT2,"Branched-chain-amino-acid aminotransferase, mitochondrial",BCAT2,SomaScan v4,977,BCAT2,branched chain amino acid transaminase 2,113530,ENSG00000105552,587
BCHE,BCHE_15514_26,SeqId.15514-26,P06276,Pseudocholinesterase,Cholinesterase,BCHE,SomaScan v4,983,BCHE,butyrylcholinesterase,177400,ENSG00000114200,590
BCL10,BCL10_8768_4,SeqId.8768-4,O95999,Bcl-10,B-cell lymphoma/leukemia 10,BCL10,SomaScan v4,989,BCL10,BCL10 immune signaling adaptor,603517,ENSG00000142867,8915
BDH2,BDH2_17329_2,SeqId.17329-2,Q9BUT1,BDH2,3-hydroxybutyrate dehydrogenase type 2,BDH2,SomaScan v4,32389,BDH2,3-hydroxybutyrate dehydrogenase 2,0,ENSG00000164039,56898
BDNF,BDNF_14047_78,SeqId.14047-78,P23560,BDNF,Brain-derived neurotrophic factor,BDNF,SomaScan v4,1033,BDNF,brain derived neurotrophic factor,113505,ENSG00000176697,627
BDNF,BDNF_2421_7,SeqId.2421-7,P23560,BDNF,Brain-derived neurotrophic factor,BDNF,SomaScan v4,1033,BDNF,brain derived neurotrophic factor,113505,ENSG00000176697,627
BET1L,BET1L_10959_125,SeqId.10959-125,Q9NYM9,BET1L,BET1-like protein,BET1L,SomaScan v4,19348,BET1L,Bet1 golgi vesicular membrane trafficking protein like,615417,ENSG00000177951,51272
BIN1,BIN1_9574_11,SeqId.9574-11,O00499,BIN1,Myc box-dependent-interacting protein 1,BIN1,SomaScan v4,1052,BIN1,bridging integrator 1,601248,ENSG00000136717,274
BLVRA,BLVRA_11382_5,SeqId.11382-5,P53004,BIEA,Biliverdin reductase A,BLVRA,SomaScan v4,1062,BLVRA,biliverdin reductase A,109750,ENSG00000106605,644
BMP7,BMP7_2972_57,SeqId.2972-57,P18075,BMP-7,Bone morphogenetic protein 7,BMP7,SomaScan v4,1074,BMP7,bone morphogenetic protein 7,112267,ENSG00000101144,655
BMPER,BMPER_15368_3,SeqId.15368-3,Q8N8U9,BMPER,BMP-binding endothelial regulator protein,BMPER,SomaScan v4,24154,BMPER,BMP binding endothelial regulator,608699,ENSG00000164619,168667
BOLA1,BOLA1_15370_5,SeqId.15370-5,Q9Y3E2,BOLA1,BolA-like protein 1,BOLA1,SomaScan v4,24263,BOLA1,bolA family member 1,613181,ENSG00000178096,51027
BOLA3,BOLA3_5980_55,SeqId.5980-55,Q53S33,BOLA3,BolA-like protein 3,BOLA3,SomaScan v4,24415,BOLA3,bolA family member 3,613183,ENSG00000163170,388962
BPHL,BPHL_17813_21,SeqId.17813-21,Q86WA6,BPHL,Valacyclovir hydrolase,BPHL,SomaScan v4,1094,BPHL,biphenyl hydrolase like,603156,ENSG00000137274,670
BPI,BPI_4126_22,SeqId.4126-22,P17213,BPI,Bactericidal permeability-increasing protein,BPI,SomaScan v4,1095,BPI,bactericidal permeability increasing protein,109195,ENSG00000101425,671
BPIFA2,BPIFA2_16302_11,SeqId.16302-11,Q96DR5,SPLC2,BPI fold-containing family A member 2,BPIFA2,SomaScan v4,16203,BPIFA2,BPI fold containing family A member 2,0,ENSG00000131050,140683
BPIFB1,BPIFB1_15367_38,SeqId.15367-38,Q8TDL5,LPLC1,BPI fold-containing family B member 1,BPIFB1,SomaScan v4,16108,BPIFB1,BPI fold containing family B member 1,0,ENSG00000125999,92747
BPNT1,BPNT1_17814_8,SeqId.17814-8,O95861,BPNT1,"3'(2'),5'-bisphosphate nucleotidase 1",BPNT1,SomaScan v4,1096,BPNT1,"3'(2'), 5'-bisphosphate nucleotidase 1",604053,ENSG00000162813,10380
BRD2,BRD2_10074_128,SeqId.10074-128,P25440,BRD2,Bromodomain-containing protein 2,BRD2,SomaScan v4,1103,BRD2,bromodomain containing 2,601540,ENSG00000204256,6046
BRD2,BRD2_15372_43,SeqId.15372-43,P25440,BRD2,Bromodomain-containing protein 2,BRD2,SomaScan v4,1103,BRD2,bromodomain containing 2,601540,ENSG00000204256,6046
BRSK2,BRSK2_9790_28,SeqId.9790-28,Q8IWQ3,BR serine/threonine kinase 2,Serine/threonine-protein kinase BRSK2,BRSK2,SomaScan v4,11405,BRSK2,BR serine/threonine kinase 2,609236,ENSG00000174672,9024
BST1,BST1_4535_50,SeqId.4535-50,Q10588,BST1,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2,BST1,SomaScan v4,1118,BST1,bone marrow stromal cell antigen 1,600387,ENSG00000109743,683
BTD,BTD_15644_1,SeqId.15644-1,P43251,Biotinidase,Biotinidase,BTD,SomaScan v4,1122,BTD,biotinidase,609019,ENSG00000169814,686
BTN3A1,BTN3A1_7081_2,SeqId.7081-2,O00481,BT3A1,Butyrophilin subfamily 3 member A1,BTN3A1,SomaScan v4,1138,BTN3A1,butyrophilin subfamily 3 member A1,613593,ENSG00000026950,11119
BTN3A3,BTN3A3_17692_2,SeqId.17692-2,O00478,BT3A3,Butyrophilin subfamily 3 member A3,BTN3A3,SomaScan v4,1140,BTN3A3,butyrophilin subfamily 3 member A3,613595,ENSG00000111801,10384
BTNL8,BTNL8_9026_40,SeqId.9026-40,Q6UX41,BTNL8,Butyrophilin-like protein 8,BTNL8,SomaScan v4,26131,BTNL8,butyrophilin like 8,615606,ENSG00000113303,79908
