Protein,UKBB_PPP_exposure,uniprot,UKBB_PPP_HGNC,UKBB_PPP_Approved symbol,UKBB_PPP_OMIM_Gene_ID,UKBB_PPP_Ensembl_gene_ID,UKBB_PPP_NCBI_Gene_ID,UKBB_PPP_oid,UKBB_PPP_target_full_name,UKBB_PPP_platform,UKBB_PPP_panel
ADAM22,ADAM22:Q9P0K1:Neurology,Q9P0K1,201,ADAM22,603709,ENSG00000008277,53616,OID21001,Disintegrin and metalloproteinase domain-containing protein 22,Olink Explore,Neurology_v1
ADAM23,ADAM23:O75077:Inflammation,O75077,202,ADAM23,603710,ENSG00000114948,8745,OID20651,Disintegrin and metalloproteinase domain-containing protein 23,Olink Explore,Inflammation_v1
ADAM8,ADAM8:P78325:Neurology,P78325,215,ADAM8,602267,ENSG00000151651,101,OID21039,Disintegrin and metalloproteinase domain-containing protein 8,Olink Explore,Neurology_v1
ADAM9,ADAM9:Q13443:Oncology_II,Q13443,216,ADAM9,602713,ENSG00000168615,8754,OID31488,Disintegrin and metalloproteinase domain-containing protein 9,Olink Explore,Oncology_v1
ADAMTS1,ADAMTS1:Q9UHI8:Inflammation_II,Q9UHI8,217,ADAMTS1,605174,ENSG00000154734,9510,OID30528,A disintegrin and metalloproteinase with thrombospondin motifs 1,Olink Explore,Inflammation_v1
ADAMTS4,ADAMTS4:O75173:Inflammation_II,O75173,220,ADAMTS4,603876,ENSG00000158859,9507,OID30471,A disintegrin and metalloproteinase with thrombospondin motifs 4,Olink Explore,Inflammation_v1
ADAMTS8,ADAMTS8:Q9UP79:Oncology,Q9UP79,224,ADAMTS8,605175,ENSG00000134917,11095,OID21502,A disintegrin and metalloproteinase with thrombospondin motifs 8,Olink Explore,Oncology_v1
ADCYAP1R1,ADCYAP1R1:P41586:Oncology,P41586,242,ADCYAP1R1,102981,ENSG00000078549,117,OID21188,Pituitary adenylate cyclase-activating polypeptide type I receptor,Olink Explore,Oncology_v1
ADD1,ADD1:P35611:Inflammation_II,P35611,243,ADD1,102680,ENSG00000087274,118,OID30655,Alpha-adducin,Olink Explore,Inflammation_v1
ADH1B,ADH1B:P00325:Inflammation_II,P00325,250,ADH1B,103720,ENSG00000196616,125,OID30612,All-trans-retinol dehydrogenase,Olink Explore,Inflammation_v1
ADH4,ADH4:P08319:Cardiometabolic,P08319,252,ADH4,103740,ENSG00000198099,127,OID20117,All-trans-retinol dehydrogenase [NAD(+)] ADH4,Olink Explore,Cardiometabolic_v1
ADM,ADM:P35318:Oncology,P35318,259,ADM,103275,ENSG00000148926,133,OID21467,Pro-adrenomedullin,Olink Explore,Oncology_v1
PARP1,PARP1:P09874:Inflammation,P09874,270,PARP1,173870,ENSG00000143799,142,OID20500,Poly [ADP-ribose] polymerase 1,Olink Explore,Inflammation_v1
AFM,AFM:P43652:Inflammation_II,P43652,316,AFM,104145,ENSG00000079557,173,OID30741,Afamin,Olink Explore,Inflammation_v1
AFP,AFP:P02771:Neurology,P02771,317,AFP,104150,ENSG00000081051,174,OID20978,Alpha-fetoprotein,Olink Explore,Neurology_v1
ACAN,ACAN:P16112:Cardiometabolic,P16112,319,ACAN,155760,ENSG00000157766,176,OID20159,Aggrecan core protein,Olink Explore,Cardiometabolic_v1
AGER,AGER:Q15109:Inflammation,Q15109,320,AGER,600214,ENSG00000204305,177,OID20756,Advanced glycosylation end product-specific receptor,Olink Explore,Inflammation_v1
AGR2,AGR2:O95994:Neurology,O95994,328,AGR2,606358,ENSG00000106541,10551,OID20896,Anterior gradient protein 2 homolog,Olink Explore,Neurology_v1
AGRN,AGRN:O00468:Inflammation,O00468,329,AGRN,103320,ENSG00000188157,375790,OID20786,Agrin,Olink Explore,Inflammation_v1
AGRP,AGRP:O00253:Inflammation,O00253,330,AGRP,602311,ENSG00000159723,181,OID20658,Agouti-related protein,Olink Explore,Inflammation_v1
AGT,AGT:P01019:Inflammation_II,P01019,333,AGT,106150,ENSG00000135744,183,OID30709,Angiotensinogen,Olink Explore,Inflammation_v1
AGXT,AGXT:P21549:Cardiometabolic,P21549,341,AGXT,604285,ENSG00000172482,189,OID20139,Serine--pyruvate aminotransferase,Olink Explore,Cardiometabolic_v1
AHCY,AHCY:P23526:Cardiometabolic,P23526,343,AHCY,180960,ENSG00000101444,191,OID20199,Adenosylhomocysteinase,Olink Explore,Cardiometabolic_v1
AHNAK,AHNAK:Q09666:Cardiometabolic_II,Q09666,347,AHNAK,103390,ENSG00000124942,79026,OID30260,Neuroblast differentiation-associated protein AHNAK,Olink Explore,Cardiometabolic_v1
AHSG,AHSG:P02765:Inflammation_II,P02765,349,AHSG,138680,ENSG00000145192,197,OID30706,Alpha-2-HS-glycoprotein,Olink Explore,Inflammation_v1
AIF1,AIF1:P55008:Oncology,P55008,352,AIF1,601833,ENSG00000204472,199,OID21234,Allograft inflammatory factor 1,Olink Explore,Oncology_v1
AK1,AK1:P00568:Cardiometabolic,P00568,361,AK1,103000,ENSG00000106992,203,OID20122,Adenylate kinase isoenzyme 1,Olink Explore,Cardiometabolic_v1
AK2,AK2:P54819:Neurology_II,P54819,362,AK2,103020,ENSG00000004455,204,OID31142,"Adenylate kinase 2, mitochondrial",Olink Explore,Neurology_v1
AKAP12,AKAP12:Q02952:Inflammation_II,Q02952,370,AKAP12,604698,ENSG00000131016,9590,OID30571,A-kinase anchor protein 12,Olink Explore,Inflammation_v1
AKR1B1,AKR1B1:P15121:Oncology,P15121,381,AKR1B1,103880,ENSG00000085662,231,OID21244,Aldo-keto reductase family 1 member B1,Olink Explore,Oncology_v1
AKR1C4,AKR1C4:P17516:Cardiometabolic,P17516,387,AKR1C4,600451,ENSG00000198610,1109,OID20062,Aldo-keto reductase family 1 member C4,Olink Explore,Cardiometabolic_v1
AKT2,AKT2:P31751:Neurology_II,P31751,392,AKT2,164731,ENSG00000105221,208,OID31052,RAC-beta serine/threonine-protein kinase,Olink Explore,Neurology_v1
AKT3,AKT3:Q9Y243:Oncology,Q9Y243,393,AKT3,611223,ENSG00000117020,10000,OID21197,RAC-gamma serine/threonine-protein kinase,Olink Explore,Oncology_v1
ALCAM,ALCAM:Q13740:Cardiometabolic,Q13740,400,ALCAM,601662,ENSG00000170017,214,OID20273,CD166 antigen,Olink Explore,Cardiometabolic_v1
ALDH1A1,ALDH1A1:P00352:Neurology,P00352,402,ALDH1A1,100640,ENSG00000165092,216,OID21128,Retinal dehydrogenase 1,Olink Explore,Neurology_v1
ALDH2,ALDH2:P05091:Oncology_II,P05091,404,ALDH2,100650,ENSG00000111275,217,OID31380,"Aldehyde dehydrogenase, mitochondrial",Olink Explore,Oncology_v1
ALDH3A1,ALDH3A1:P30838:Inflammation,P30838,405,ALDH3A1,100660,ENSG00000108602,218,OID20512,"Aldehyde dehydrogenase, dimeric NADP-preferring",Olink Explore,Inflammation_v1
ALDH5A1,ALDH5A1:P51649:Neurology_II,P51649,408,ALDH5A1,610045,ENSG00000112294,7915,OID31047,"Succinate-semialdehyde dehydrogenase, mitochondrial",Olink Explore,Neurology_v1
ALMS1,ALMS1:Q8TCU4:Oncology_II,Q8TCU4,428,ALMS1,606844,ENSG00000116127,7840,OID31275,Alstrom syndrome protein 1,Olink Explore,Oncology_v1
ALPI,ALPI:P09923:Inflammation_II,P09923,437,ALPI,171740,ENSG00000163295,248,OID30497,Intestinal-type alkaline phosphatase,Olink Explore,Inflammation_v1
ALPP,ALPP:P05187:Oncology,P05187,439,ALPP,171800,ENSG00000163283,250,OID21383,"Alkaline phosphatase, placental type",Olink Explore,Oncology_v1
AMBN,AMBN:Q9NP70:Inflammation,Q9NP70,452,AMBN,601259,ENSG00000178522,258,OID20437,Ameloblastin,Olink Explore,Inflammation_v1
AMBP,AMBP:P02760:Oncology,P02760,453,AMBP,176870,ENSG00000106927,259,OID21413,Protein AMBP,Olink Explore,Oncology_v1
AMFR,AMFR:Q9UKV5:Neurology,Q9UKV5,463,AMFR,603243,ENSG00000159461,267,OID20806,E3 ubiquitin-protein ligase AMFR,Olink Explore,Neurology_v1
AMPD3,AMPD3:Q01432:Neurology_II,Q01432,470,AMPD3,102772,ENSG00000133805,272,OID31139,AMP deaminase 3,Olink Explore,Neurology_v1
AMY2A,AMY2A:P04746:Cardiometabolic,P04746,477,AMY2A,104650,ENSG00000243480,279,OID20333,Pancreatic alpha-amylase,Olink Explore,Cardiometabolic_v1
AMY2B,AMY2B:P19961:Cardiometabolic,P19961,478,AMY2B,104660,ENSG00000240038,280,OID20340,Alpha-amylase 2B,Olink Explore,Cardiometabolic_v1
ANG,ANG:P03950:Cardiometabolic,P03950,483,ANG,105850,ENSG00000214274,283,OID20403,Angiogenin,Olink Explore,Cardiometabolic_v1
ANGPT1,ANGPT1:Q15389:Inflammation,Q15389,484,ANGPT1,601667,ENSG00000154188,284,OID20740,Angiopoietin-1,Olink Explore,Inflammation_v1
ANGPT2,ANGPT2:O15123:Oncology,O15123,485,ANGPT2,601922,ENSG00000091879,285,OID21463,Angiopoietin-2,Olink Explore,Oncology_v1
ANGPTL1,ANGPTL1:O95841:Cardiometabolic,O95841,489,ANGPTL1,603874,ENSG00000116194,9068,OID20211,Angiopoietin-related protein 1,Olink Explore,Cardiometabolic_v1
ANGPTL2,ANGPTL2:Q9UKU9:Inflammation,Q9UKU9,490,ANGPTL2,605001,ENSG00000136859,23452,OID20726,Angiopoietin-related protein 2,Olink Explore,Inflammation_v1
ANGPTL3,ANGPTL3:Q9Y5C1:Cardiometabolic,Q9Y5C1,491,ANGPTL3,604774,ENSG00000132855,27329,OID20407,Angiopoietin-related protein 3,Olink Explore,Cardiometabolic_v1
ANK2,ANK2:Q01484:Cardiometabolic_II,Q01484,493,ANK2,106410,ENSG00000145362,287,OID30161,Ankyrin-2,Olink Explore,Cardiometabolic_v1
RIPK4,RIPK4:P57078:Cardiometabolic_II,P57078,496,RIPK4,605706,ENSG00000183421,54101,OID30138,Receptor-interacting serine/threonine-protein kinase 4,Olink Explore,Cardiometabolic_v1
ANPEP,ANPEP:P15144:Cardiometabolic,P15144,500,ANPEP,151530,ENSG00000166825,290,OID20350,Aminopeptidase N,Olink Explore,Cardiometabolic_v1
ANXA1,ANXA1:P04083:Inflammation_II,P04083,533,ANXA1,151690,ENSG00000135046,301,OID30617,Annexin A1,Olink Explore,Inflammation_v1
ANXA10,ANXA10:Q9UJ72:Neurology,Q9UJ72,534,ANXA10,608008,ENSG00000109511,11199,OID20886,Annexin A10,Olink Explore,Neurology_v1
ANXA11,ANXA11:P50995:Inflammation,P50995,535,ANXA11,602572,ENSG00000122359,311,OID20583,Annexin A11,Olink Explore,Inflammation_v1
ANXA2,ANXA2:P07355:Cardiometabolic_II,P07355,537,ANXA2,151740,ENSG00000182718,302,OID30263,Annexin A2,Olink Explore,Cardiometabolic_v1
ANXA3,ANXA3:P12429:Neurology,P12429,541,ANXA3,106490,ENSG00000138772,306,OID21036,Annexin A3,Olink Explore,Neurology_v1
ANXA4,ANXA4:P09525:Cardiometabolic,P09525,542,ANXA4,106491,ENSG00000196975,307,OID20123,Annexin A4,Olink Explore,Cardiometabolic_v1
ANXA5,ANXA5:P08758:Neurology,P08758,543,ANXA5,131230,ENSG00000164111,308,OID20810,Annexin A5,Olink Explore,Neurology_v1
AOC3,AOC3:Q16853:Cardiometabolic,Q16853,550,AOC3,603735,ENSG00000131471,8639,OID20389,Membrane primary amine oxidase,Olink Explore,Cardiometabolic_v1
AP1G2,AP1G2:O75843:Oncology_II,O75843,556,AP1G2,603534,ENSG00000213983,8906,OID31348,AP-1 complex subunit gamma-like 2,Olink Explore,Oncology_v1
AP2B1,AP2B1:P63010:Neurology_II,P63010,563,AP2B1,601025,ENSG00000006125,163,OID30949,AP-2 complex subunit beta,Olink Explore,Neurology_v1
AP3B1,AP3B1:O00203:Oncology_II,O00203,566,AP3B1,603401,ENSG00000132842,8546,OID31478,AP-3 complex subunit beta-1,Olink Explore,Oncology_v1
AP3S2,AP3S2:P59780:Neurology_II,P59780,571,AP3S2,602416,ENSG00000157823,10239,OID31117,AP-3 complex subunit sigma-2,Olink Explore,Neurology_v1
APCS,APCS:P02743:Inflammation_II,P02743,584,APCS,104770,ENSG00000132703,325,OID30778,Serum amyloid P-component,Olink Explore,Inflammation_v1
APEX1,APEX1:P27695:Oncology,P27695,587,APEX1,107748,ENSG00000100823,328,OID21434,DNA-(apurinic or apyrimidinic site) endonuclease,Olink Explore,Oncology_v1
BIRC2,BIRC2:Q13490:Oncology,Q13490,590,BIRC2,601712,ENSG00000110330,329,OID21217,Baculoviral IAP repeat-containing protein 2,Olink Explore,Oncology_v1
XIAP,XIAP:P98170:Inflammation_II,P98170,592,XIAP,300079,ENSG00000101966,331,OID30490,E3 ubiquitin-protein ligase XIAP,Olink Explore,Inflammation_v1
APLP1,APLP1:P51693:Cardiometabolic,P51693,597,APLP1,104775,ENSG00000105290,333,OID20164,Amyloid-like protein 1,Olink Explore,Cardiometabolic_v1
APOA1,APOA1:P02647:Inflammation_II,P02647,600,APOA1,107680,ENSG00000118137,335,OID30769,Apolipoprotein A-I,Olink Explore,Inflammation_v1
APOA2,APOA2:P02652:Inflammation_II,P02652,601,APOA2,107670,ENSG00000158874,336,OID30686,Apolipoprotein A-II,Olink Explore,Inflammation_v1
APOA4,APOA4:P06727:Inflammation_II,P06727,602,APOA4,107690,ENSG00000110244,337,OID30733,Apolipoprotein A-IV,Olink Explore,Inflammation_v1
APOC1,APOC1:P02654:Inflammation_II,P02654,607,APOC1,107710,ENSG00000130208,341,OID30749,Apolipoprotein C-I,Olink Explore,Inflammation_v1
APOD,APOD:P05090:Inflammation_II,P05090,612,APOD,107740,ENSG00000189058,347,OID30746,Apolipoprotein D,Olink Explore,Inflammation_v1
APOE,APOE:P02649:Inflammation_II,P02649,613,APOE,107741,ENSG00000130203,348,OID30727,Apolipoprotein E,Olink Explore,Inflammation_v1
APOF,APOF:Q13790:Inflammation_II,Q13790,615,APOF,107760,ENSG00000175336,319,OID30701,Apolipoprotein F,Olink Explore,Inflammation_v1
APOH,APOH:P02749:Neurology,P02749,616,APOH,138700,ENSG00000091583,350,OID21072,Beta-2-glycoprotein 1,Olink Explore,Neurology_v1
APOL1,APOL1:O14791:Inflammation_II,O14791,618,APOL1,603743,ENSG00000100342,8542,OID30708,Apolipoprotein L1,Olink Explore,Inflammation_v1
APP,APP:P05067:Neurology,P05067,620,APP,104760,ENSG00000142192,351,OID21070,Amyloid-beta precursor protein,Olink Explore,Neurology_v1
APRT,APRT:P07741:Neurology,P07741,626,APRT,102600,ENSG00000198931,353,OID20927,Adenine phosphoribosyltransferase,Olink Explore,Neurology_v1
ARAF,ARAF:P10398:Oncology_II,P10398,646,ARAF,311010,ENSG00000078061,369,OID31260,Serine/threonine-protein kinase A-Raf,Olink Explore,Oncology_v1
AREG,AREG:P15514:Oncology,P15514,651,AREG,104640,ENSG00000109321,374,OID21357,Amphiregulin,Olink Explore,Oncology_v1
ARF6,ARF6:P62330:Oncology_II,P62330,659,ARF6,600464,ENSG00000165527,382,OID31523,ADP-ribosylation factor 6,Olink Explore,Oncology_v1
ARG1,ARG1:P05089:Oncology,P05089,663,ARG1,608313,ENSG00000118520,383,OID21445,Arginase-1,Olink Explore,Oncology_v1
ARG2,ARG2:P78540:Oncology_II,P78540,664,ARG2,107830,ENSG00000081181,384,OID31339,"Arginase-2, mitochondrial",Olink Explore,Oncology_v1
RHOC,RHOC:P08134:Neurology,P08134,669,RHOC,165380,ENSG00000155366,389,OID20950,Rho-related GTP-binding protein RhoC,Olink Explore,Neurology_v1
ARHGAP1,ARHGAP1:Q07960:Oncology,Q07960,673,ARHGAP1,602732,ENSG00000175220,392,OID21202,Rho GTPase-activating protein 1,Olink Explore,Oncology_v1
ARHGAP5,ARHGAP5:Q13017:Oncology_II,Q13017,675,ARHGAP5,602680,ENSG00000100852,394,OID31190,Rho GTPase-activating protein 5,Olink Explore,Oncology_v1
ARHGEF1,ARHGEF1:Q92888:Neurology_II,Q92888,681,ARHGEF1,601855,ENSG00000076928,9138,OID31133,Rho guanine nucleotide exchange factor 1,Olink Explore,Neurology_v1
ARNT,ARNT:P27540:Inflammation,P27540,700,ARNT,126110,ENSG00000143437,405,OID20432,Aryl hydrocarbon receptor nuclear translocator,Olink Explore,Inflammation_v1
ARSA,ARSA:P15289:Neurology,P15289,713,ARSA,607574,ENSG00000100299,410,OID21138,Arylsulfatase A,Olink Explore,Neurology_v1
ARSB,ARSB:P15848:Oncology,P15848,714,ARSB,611542,ENSG00000113273,411,OID21331,Arylsulfatase B,Olink Explore,Oncology_v1
ART3,ART3:Q13508:Cardiometabolic,Q13508,725,ART3,603086,ENSG00000156219,419,OID20346,Ecto-ADP-ribosyltransferase 3,Olink Explore,Cardiometabolic_v1
ARTN,ARTN:Q5T4W7:Inflammation,Q5T4W7,727,ARTN,603886,ENSG00000117407,9048,OID20446,Artemin,Olink Explore,Inflammation_v1
ASAH1,ASAH1:Q13510:Cardiometabolic_II,Q13510,735,ASAH1,613468,ENSG00000104763,427,OID30415,Acid ceramidase,Olink Explore,Cardiometabolic_v1
NAAA,NAAA:Q02083:Neurology,Q02083,736,NAAA,607469,ENSG00000138744,27163,OID20931,N-acylethanolamine-hydrolyzing acid amidase,Olink Explore,Neurology_v1
ASGR1,ASGR1:P07306:Neurology,P07306,742,ASGR1,108360,ENSG00000141505,432,OID20990,Asialoglycoprotein receptor 1,Olink Explore,Neurology_v1
ASGR2,ASGR2:P07307:Inflammation_II,P07307,743,ASGR2,108361,ENSG00000161944,433,OID30679,Asialoglycoprotein receptor 2,Olink Explore,Inflammation_v1
GET3,GET3:O43681:Cardiometabolic_II,O43681,752,GET3,601913,ENSG00000198356,439,OID30303,ATPase GET3,Olink Explore,Cardiometabolic_v1
ASS1,ASS1:P00966:Cardiometabolic_II,P00966,758,ASS1,603470,ENSG00000130707,445,OID30170,Argininosuccinate synthase,Olink Explore,Cardiometabolic_v1
SERPINC1,SERPINC1:P01008:Inflammation_II,P01008,775,SERPINC1,107300,ENSG00000117601,462,OID30789,Antithrombin-III,Olink Explore,Inflammation_v1
ATF2,ATF2:P15336:Neurology,P15336,784,ATF2,123811,ENSG00000115966,1386,OID20798,Cyclic AMP-dependent transcription factor ATF-2,Olink Explore,Neurology_v1
ATOX1,ATOX1:O00244:Oncology,O00244,798,ATOX1,602270,ENSG00000177556,475,OID21476,Copper transport protein ATOX1,Olink Explore,Oncology_v1
ATP1B1,ATP1B1:P05026:Cardiometabolic_II,P05026,804,ATP1B1,182330,ENSG00000143153,481,OID30124,Sodium/potassium-transporting ATPase subunit beta-1,Olink Explore,Cardiometabolic_v1
ATP2B4,ATP2B4:P23634:Cardiometabolic_II,P23634,817,ATP2B4,108732,ENSG00000058668,493,OID30062,Plasma membrane calcium-transporting ATPase 4,Olink Explore,Cardiometabolic_v1
ATP6V1G2,ATP6V1G2:O95670:Cardiometabolic_II,O95670,862,ATP6V1G2,606853,ENSG00000213760,534,OID30167,V-type proton ATPase subunit G 2,Olink Explore,Cardiometabolic_v1
ATP6V1G1,ATP6V1G1:O75348:Cardiometabolic_II,O75348,864,ATP6V1G1,607296,ENSG00000136888,9550,OID30242,V-type proton ATPase subunit G 1,Olink Explore,Cardiometabolic_v1
ATP5IF1,ATP5IF1:Q9UII2:Inflammation,Q9UII2,871,ATP5IF1,614981,ENSG00000130770,93974,OID20760,"ATPase inhibitor, mitochondrial",Olink Explore,Inflammation_v1
ATRN,ATRN:O75882-2:Inflammation_II,O75882-2,885,ATRN,603130,ENSG00000088812,8455,OID30735,"Attractin, Isoform 2",Olink Explore,Inflammation_v1
AXIN1,AXIN1:O15169:Inflammation,O15169,903,AXIN1,603816,ENSG00000103126,8312,OID20582,Axin-1,Olink Explore,Inflammation_v1
AXL,AXL:P30530:Cardiometabolic,P30530,905,AXL,109135,ENSG00000167601,558,OID20363,Tyrosine-protein kinase receptor UFO,Olink Explore,Cardiometabolic_v1
AZU1,AZU1:P20160:Cardiometabolic,P20160,913,AZU1,162815,ENSG00000172232,566,OID20309,Azurocidin,Olink Explore,Cardiometabolic_v1
B2M,B2M:P61769:Inflammation_II,P61769,914,B2M,109700,ENSG00000166710,567,OID30725,Beta-2-microglobulin,Olink Explore,Inflammation_v1
B4GALT1,B4GALT1:P15291:Inflammation,P15291,924,B4GALT1,137060,ENSG00000086062,2683,OID20780,"Beta-1,4-galactosyltransferase 1",Olink Explore,Inflammation_v1
BACH1,BACH1:O14867:Inflammation,O14867,935,BACH1,602751,ENSG00000156273,571,OID20505,Transcription regulator protein BACH1,Olink Explore,Inflammation_v1
BAG3,BAG3:O95817:Neurology,O95817,939,BAG3,603883,ENSG00000151929,9531,OID20972,BAG family molecular chaperone regulator 3,Olink Explore,Neurology_v1
