Protein,UKBB_PPP_exposure,uniprot,UKBB_PPP_HGNC,UKBB_PPP_Approved symbol,UKBB_PPP_OMIM_Gene_ID,UKBB_PPP_Ensembl_gene_ID,UKBB_PPP_NCBI_Gene_ID,UKBB_PPP_oid,UKBB_PPP_target_full_name,UKBB_PPP_platform,UKBB_PPP_panel,DECODE_exposure,DCODE_seqid,DCODE_target_name,DCODE_target_full_name,DCODE_gene_name,DCODE_platform,DCODE_HGNC,DCODE_Approved symbol,DCODE_Approved name,DCODE_OMIM_Gene_ID,DCODE_Ensembl_gene_ID,DCODE_NCBI_Gene_ID,HGNC,Approved symbol,OMIM_Gene_ID,Ensembl_gene_ID,NCBI_Gene_ID,target_full_name
SERPINA3,SERPINA3:P01011:Inflammation_II,P01011,16,SERPINA3,107280,ENSG00000196136,12,OID30786,Alpha-1-antichymotrypsin,Olink Explore,Inflammation_v1,SERPINA3_2879_9,SeqId.2879-9,a1-Antichymotrypsin,Alpha-1-antichymotrypsin,SERPINA3,SomaScan v4,16.0,SERPINA3,serpin family A member 3,107280,ENSG00000196136,12.0,16,SERPINA3,107280,ENSG00000196136,12,Alpha-1-antichymotrypsin
SERPINA3,SERPINA3:P01011:Inflammation_II,P01011,16,SERPINA3,107280,ENSG00000196136,12,OID30786,Alpha-1-antichymotrypsin,Olink Explore,Inflammation_v1,SERPINA3_4153_11,SeqId.4153-11,alpha-1-antichymotrypsin complex,Alpha-1-antichymotrypsin complex,SERPINA3,SomaScan v4,16.0,SERPINA3,serpin family A member 3,107280,ENSG00000196136,12.0,16,SERPINA3,107280,ENSG00000196136,12,Alpha-1-antichymotrypsin
ABCA2,ABCA2:Q9BZC7:Cardiometabolic_II,Q9BZC7,32,ABCA2,600047,ENSG00000107331,20,OID30146,ATP-binding cassette sub-family A member 2,Olink Explore,Cardiometabolic_v1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,32,ABCA2,600047,ENSG00000107331,20,ATP-binding cassette sub-family A member 2
ABL1,ABL1:P00519:Oncology,P00519,76,ABL1,189980,ENSG00000097007,25,OID21280,Tyrosine-protein kinase ABL1,Olink Explore,Oncology_v1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,76,ABL1,189980,ENSG00000097007,25,Tyrosine-protein kinase ABL1
ABO,ABO:P16442:Inflammation_II,P16442,79,ABO,110300,ENSG00000175164,28,OID30675,Histo-blood group ABO system transferase,Olink Explore,Inflammation_v1,ABO_9253_52,SeqId.9253-52,BGAT,Histo-blood group ABO system transferase,ABO,SomaScan v4,79.0,ABO,"ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase",110300,ENSG00000175164,28.0,79,ABO,110300,ENSG00000175164,28,Histo-blood group ABO system transferase
AOC1,AOC1:P19801:Inflammation,P19801,80,AOC1,104610,ENSG00000002726,26,OID20452,Amiloride-sensitive amine oxidase [copper-containing],Olink Explore,Inflammation_v1,AOC1_15486_126,SeqId.15486-126,ABP1,Amiloride-sensitive amine oxidase [copper-containing],AOC1,SomaScan v4,80.0,AOC1,amine oxidase copper containing 1,104610,ENSG00000002726,26.0,80,AOC1,104610,ENSG00000002726,26,Amiloride-sensitive amine oxidase [copper-containing]
ACAA1,ACAA1:P09110:Oncology,P09110,82,ACAA1,604054,ENSG00000060971,30,OID21269,"3-ketoacyl-CoA thiolase, peroxisomal",Olink Explore,Oncology_v1,ACAA1_17782_23,SeqId.17782-23,THIK,"3-ketoacyl-CoA thiolase, peroxisomal",ACAA1,SomaScan v4,82.0,ACAA1,acetyl-CoA acyltransferase 1,604054,ENSG00000060971,30.0,82,ACAA1,604054,ENSG00000060971,30,"3-ketoacyl-CoA thiolase, peroxisomal"
ACADM,ACADM:P11310:Oncology_II,P11310,89,ACADM,607008,ENSG00000117054,34,OID31277,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",Olink Explore,Oncology_v1,ACADM_17333_20,SeqId.17333-20,ACADM,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",ACADM,SomaScan v4,89.0,ACADM,acyl-CoA dehydrogenase medium chain,607008,ENSG00000117054,34.0,89,ACADM,607008,ENSG00000117054,34,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial"
ACADSB,ACADSB:P45954:Cardiometabolic_II,P45954,91,ACADSB,600301,ENSG00000196177,36,OID30356,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",Olink Explore,Cardiometabolic_v1,ACADSB_17403_14,SeqId.17403-14,acyl-Coenzyme A dehydrogenase,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",ACADSB,SomaScan v4,91.0,ACADSB,acyl-CoA dehydrogenase short/branched chain,600301,ENSG00000196177,36.0,91,ACADSB,600301,ENSG00000196177,36,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial"
ACHE,ACHE:P22303:Inflammation_II,P22303,108,ACHE,100740,ENSG00000087085,43,OID30585,Acetylcholinesterase,Olink Explore,Inflammation_v1,ACHE_15553_22,SeqId.15553-22,ACES,Acetylcholinesterase,ACHE,SomaScan v4,108.0,ACHE,acetylcholinesterase (Cartwright blood group),100740,ENSG00000087085,43.0,108,ACHE,100740,ENSG00000087085,43,Acetylcholinesterase
ACOX1,ACOX1:Q15067:Cardiometabolic,Q15067,119,ACOX1,609751,ENSG00000161533,51,OID20124,Peroxisomal acyl-coenzyme A oxidase 1,Olink Explore,Cardiometabolic_v1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,119,ACOX1,609751,ENSG00000161533,51,Peroxisomal acyl-coenzyme A oxidase 1
ACP1,ACP1:P24666:Inflammation_II,P24666,122,ACP1,171500,ENSG00000143727,52,OID30524,Low molecular weight phosphotyrosine protein phosphatase,Olink Explore,Inflammation_v1,ACP1_3858_5,SeqId.3858-5,PPAC,Low molecular weight phosphotyrosine protein phosphatase,ACP1,SomaScan v4,122.0,ACP1,acid phosphatase 1,171500,ENSG00000143727,52.0,122,ACP1,171500,ENSG00000143727,52,Low molecular weight phosphotyrosine protein phosphatase
ACP5,ACP5:P13686:Cardiometabolic,P13686,124,ACP5,171640,ENSG00000102575,54,OID20314,Tartrate-resistant acid phosphatase type 5,Olink Explore,Cardiometabolic_v1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,124,ACP5,171640,ENSG00000102575,54,Tartrate-resistant acid phosphatase type 5
ACRV1,ACRV1:P26436:Inflammation_II,P26436,127,ACRV1,102525,ENSG00000134940,56,OID30513,Acrosomal protein SP-10,Olink Explore,Inflammation_v1,ACRV1_10507_166,SeqId.10507-166,sperm protein 10,Acrosomal protein SP-10,ACRV1,SomaScan v4,127.0,ACRV1,acrosomal vesicle protein 1,102525,ENSG00000134940,56.0,127,ACRV1,102525,ENSG00000134940,56,Acrosomal protein SP-10
ACRV1,ACRV1:P26436:Inflammation_II,P26436,127,ACRV1,102525,ENSG00000134940,56,OID30513,Acrosomal protein SP-10,Olink Explore,Inflammation_v1,ACRV1_15301_24,SeqId.15301-24,sperm protein 10,Acrosomal protein SP-10,ACRV1,SomaScan v4,127.0,ACRV1,acrosomal vesicle protein 1,102525,ENSG00000134940,56.0,127,ACRV1,102525,ENSG00000134940,56,Acrosomal protein SP-10
ACTA2,ACTA2:P62736:Cardiometabolic,P62736,130,ACTA2,102620,ENSG00000107796,59,OID20079,"Actin, aortic smooth muscle",Olink Explore,Cardiometabolic_v1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,130,ACTA2,102620,ENSG00000107796,59,"Actin, aortic smooth muscle"
ACTN2,ACTN2:P35609:Cardiometabolic_II,P35609,164,ACTN2,102573,ENSG00000077522,88,OID30192,Alpha-actinin-2,Olink Explore,Cardiometabolic_v1,ACTN2_9844_138,SeqId.9844-138,ACTN2,Alpha-actinin-2,ACTN2,SomaScan v4,164.0,ACTN2,actinin alpha 2,102573,ENSG00000077522,88.0,164,ACTN2,102573,ENSG00000077522,88,Alpha-actinin-2
ACVRL1,ACVRL1:P37023:Neurology,P37023,175,ACVRL1,601284,ENSG00000139567,94,OID20999,Serine/threonine-protein kinase receptor R3,Olink Explore,Neurology_v1,ACVRL1_16318_12,SeqId.16318-12,ALK-1,Serine/threonine-protein kinase receptor R3,ACVRL1,SomaScan v4,175.0,ACVRL1,activin A receptor like type 1,601284,ENSG00000139567,94.0,175,ACVRL1,601284,ENSG00000139567,94,Serine/threonine-protein kinase receptor R3
ACY1,ACY1:Q03154:Cardiometabolic,Q03154,177,ACY1,104620,ENSG00000243989,95,OID20137,Aminoacylase-1,Olink Explore,Cardiometabolic_v1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,177,ACY1,104620,ENSG00000243989,95,Aminoacylase-1
ACYP1,ACYP1:P07311:Inflammation_II,P07311,179,ACYP1,600875,ENSG00000119640,97,OID30642,Acylphosphatase-1,Olink Explore,Inflammation_v1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,179,ACYP1,600875,ENSG00000119640,97,Acylphosphatase-1
ADA,ADA:P00813:Inflammation,P00813,186,ADA,608958,ENSG00000196839,100,OID20645,Adenosine deaminase,Olink Explore,Inflammation_v1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,186,ADA,608958,ENSG00000196839,100,Adenosine deaminase
ADAM12,ADAM12:O43184:Inflammation_II,O43184,190,ADAM12,602714,ENSG00000148848,8038,OID30491,Disintegrin and metalloproteinase domain-containing protein 12,Olink Explore,Inflammation_v1,ADAM12_4420_7,SeqId.4420-7,ADAM12,Disintegrin and metalloproteinase domain-containing protein 12,ADAM12,SomaScan v4,190.0,ADAM12,ADAM metallopeptidase domain 12,602714,ENSG00000148848,8038.0,190,ADAM12,602714,ENSG00000148848,8038,Disintegrin and metalloproteinase domain-containing protein 12
ADAM15,ADAM15:Q13444:Cardiometabolic,Q13444,193,ADAM15,605548,ENSG00000143537,8751,OID20109,Disintegrin and metalloproteinase domain-containing protein 15,Olink Explore,Cardiometabolic_v1,ADAM15_15455_40,SeqId.15455-40,ADA15,Disintegrin and metalloproteinase domain-containing protein 15,ADAM15,SomaScan v4,193.0,ADAM15,ADAM metallopeptidase domain 15,605548,ENSG00000143537,8751.0,193,ADAM15,605548,ENSG00000143537,8751,Disintegrin and metalloproteinase domain-containing protein 15
ADAM15,ADAM15:Q13444:Cardiometabolic,Q13444,193,ADAM15,605548,ENSG00000143537,8751,OID20109,Disintegrin and metalloproteinase domain-containing protein 15,Olink Explore,Cardiometabolic_v1,ADAM15_9956_7,SeqId.9956-7,ADA15,Disintegrin and metalloproteinase domain-containing protein 15,ADAM15,SomaScan v4,193.0,ADAM15,ADAM metallopeptidase domain 15,605548,ENSG00000143537,8751.0,193,ADAM15,605548,ENSG00000143537,8751,Disintegrin and metalloproteinase domain-containing protein 15
ADAM22,ADAM22:Q9P0K1:Neurology,Q9P0K1,201,ADAM22,603709,ENSG00000008277,53616,OID21001,Disintegrin and metalloproteinase domain-containing protein 22,Olink Explore,Neurology_v1,ADAM22_7933_75,SeqId.7933-75,ADA22,Disintegrin and metalloproteinase domain-containing protein 22,ADAM22,SomaScan v4,201.0,ADAM22,ADAM metallopeptidase domain 22,603709,ENSG00000008277,53616.0,201,ADAM22,603709,ENSG00000008277,53616,Disintegrin and metalloproteinase domain-containing protein 22
ADAM23,ADAM23:O75077:Inflammation,O75077,202,ADAM23,603710,ENSG00000114948,8745,OID20651,Disintegrin and metalloproteinase domain-containing protein 23,Olink Explore,Inflammation_v1,ADAM23_7049_2,SeqId.7049-2,ADAM 23,Disintegrin and metalloproteinase domain-containing protein 23,ADAM23,SomaScan v4,202.0,ADAM23,ADAM metallopeptidase domain 23,603710,ENSG00000114948,8745.0,202,ADAM23,603710,ENSG00000114948,8745,Disintegrin and metalloproteinase domain-containing protein 23
ADAM8,ADAM8:P78325:Neurology,P78325,215,ADAM8,602267,ENSG00000151651,101,OID21039,Disintegrin and metalloproteinase domain-containing protein 8,Olink Explore,Neurology_v1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,215,ADAM8,602267,ENSG00000151651,101,Disintegrin and metalloproteinase domain-containing protein 8
ADAM9,ADAM9:Q13443:Oncology_II,Q13443,216,ADAM9,602713,ENSG00000168615,8754,OID31488,Disintegrin and metalloproteinase domain-containing protein 9,Olink Explore,Oncology_v1,ADAM9_3795_6,SeqId.3795-6,ADAM 9,Disintegrin and metalloproteinase domain-containing protein 9,ADAM9,SomaScan v4,216.0,ADAM9,ADAM metallopeptidase domain 9,602713,ENSG00000168615,8754.0,216,ADAM9,602713,ENSG00000168615,8754,Disintegrin and metalloproteinase domain-containing protein 9
ADAMTS1,ADAMTS1:Q9UHI8:Inflammation_II,Q9UHI8,217,ADAMTS1,605174,ENSG00000154734,9510,OID30528,A disintegrin and metalloproteinase with thrombospondin motifs 1,Olink Explore,Inflammation_v1,ADAMTS1_3174_2,SeqId.3174-2,ATS1,A disintegrin and metalloproteinase with thrombospondin motifs 1,ADAMTS1,SomaScan v4,217.0,ADAMTS1,ADAM metallopeptidase with thrombospondin type 1 motif 1,605174,ENSG00000154734,9510.0,217,ADAMTS1,605174,ENSG00000154734,9510,A disintegrin and metalloproteinase with thrombospondin motifs 1
ADAMTS4,ADAMTS4:O75173:Inflammation_II,O75173,220,ADAMTS4,603876,ENSG00000158859,9507,OID30471,A disintegrin and metalloproteinase with thrombospondin motifs 4,Olink Explore,Inflammation_v1,ADAMTS4_2809_25,SeqId.2809-25,ADAMTS-4,A disintegrin and metalloproteinase with thrombospondin motifs 4,ADAMTS4,SomaScan v4,220.0,ADAMTS4,ADAM metallopeptidase with thrombospondin type 1 motif 4,603876,ENSG00000158859,9507.0,220,ADAMTS4,603876,ENSG00000158859,9507,A disintegrin and metalloproteinase with thrombospondin motifs 4
ADAMTS8,ADAMTS8:Q9UP79:Oncology,Q9UP79,224,ADAMTS8,605175,ENSG00000134917,11095,OID21502,A disintegrin and metalloproteinase with thrombospondin motifs 8,Olink Explore,Oncology_v1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,224,ADAMTS8,605175,ENSG00000134917,11095,A disintegrin and metalloproteinase with thrombospondin motifs 8
ADCYAP1R1,ADCYAP1R1:P41586:Oncology,P41586,242,ADCYAP1R1,102981,ENSG00000078549,117,OID21188,Pituitary adenylate cyclase-activating polypeptide type I receptor,Olink Explore,Oncology_v1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,242,ADCYAP1R1,102981,ENSG00000078549,117,Pituitary adenylate cyclase-activating polypeptide type I receptor
ADD1,ADD1:P35611:Inflammation_II,P35611,243,ADD1,102680,ENSG00000087274,118,OID30655,Alpha-adducin,Olink Explore,Inflammation_v1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,243,ADD1,102680,ENSG00000087274,118,Alpha-adducin
ADH1B,ADH1B:P00325:Inflammation_II,P00325,250,ADH1B,103720,ENSG00000196616,125,OID30612,All-trans-retinol dehydrogenase,Olink Explore,Inflammation_v1,ADH1B_9834_62,SeqId.9834-62,ADH1B,Alcohol dehydrogenase 1B,ADH1B,SomaScan v4,250.0,ADH1B,"alcohol dehydrogenase 1B (class I), beta polypeptide",103720,ENSG00000196616,125.0,250,ADH1B,103720,ENSG00000196616,125,All-trans-retinol dehydrogenase
ADH4,ADH4:P08319:Cardiometabolic,P08319,252,ADH4,103740,ENSG00000198099,127,OID20117,All-trans-retinol dehydrogenase [NAD(+)] ADH4,Olink Explore,Cardiometabolic_v1,ADH4_8325_37,SeqId.8325-37,ADH4,Alcohol dehydrogenase 4,ADH4,SomaScan v4,252.0,ADH4,"alcohol dehydrogenase 4 (class II), pi polypeptide",103740,ENSG00000198099,127.0,252,ADH4,103740,ENSG00000198099,127,All-trans-retinol dehydrogenase [NAD(+)] ADH4
ADM,ADM:P35318:Oncology,P35318,259,ADM,103275,ENSG00000148926,133,OID21467,Pro-adrenomedullin,Olink Explore,Oncology_v1,ADM_14115_34,SeqId.14115-34,Adrenomedullin,Adrenomedullin,ADM,SomaScan v4,259.0,ADM,adrenomedullin,103275,ENSG00000148926,133.0,259,ADM,103275,ENSG00000148926,133,Pro-adrenomedullin
ADM,ADM:P35318:Oncology,P35318,259,ADM,103275,ENSG00000148926,133,OID21467,Pro-adrenomedullin,Olink Explore,Oncology_v1,ADM_7922_5,SeqId.7922-5,Adrenomedullin,Adrenomedullin,ADM,SomaScan v4,259.0,ADM,adrenomedullin,103275,ENSG00000148926,133.0,259,ADM,103275,ENSG00000148926,133,Pro-adrenomedullin
PARP1,PARP1:P09874:Inflammation,P09874,270,PARP1,173870,ENSG00000143799,142,OID20500,Poly [ADP-ribose] polymerase 1,Olink Explore,Inflammation_v1,PARP1_10534_40,SeqId.10534-40,PARP,Poly [ADP-ribose] polymerase 1,PARP1,SomaScan v4,270.0,PARP1,poly(ADP-ribose) polymerase 1,173870,ENSG00000143799,142.0,270,PARP1,173870,ENSG00000143799,142,Poly [ADP-ribose] polymerase 1
PARP1,PARP1:P09874:Inflammation,P09874,270,PARP1,173870,ENSG00000143799,142,OID20500,Poly [ADP-ribose] polymerase 1,Olink Explore,Inflammation_v1,PARP1_8893_29,SeqId.8893-29,PARP,Poly [ADP-ribose] polymerase 1,PARP1,SomaScan v4,270.0,PARP1,poly(ADP-ribose) polymerase 1,173870,ENSG00000143799,142.0,270,PARP1,173870,ENSG00000143799,142,Poly [ADP-ribose] polymerase 1
AFM,AFM:P43652:Inflammation_II,P43652,316,AFM,104145,ENSG00000079557,173,OID30741,Afamin,Olink Explore,Inflammation_v1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,316,AFM,104145,ENSG00000079557,173,Afamin
AFP,AFP:P02771:Neurology,P02771,317,AFP,104150,ENSG00000081051,174,OID20978,Alpha-fetoprotein,Olink Explore,Neurology_v1,AFP_5792_8,SeqId.5792-8,AFP,alpha-Fetoprotein,AFP,SomaScan v4,317.0,AFP,alpha fetoprotein,104150,ENSG00000081051,174.0,317,AFP,104150,ENSG00000081051,174,Alpha-fetoprotein
ACAN,ACAN:P16112:Cardiometabolic,P16112,319,ACAN,155760,ENSG00000157766,176,OID20159,Aggrecan core protein,Olink Explore,Cardiometabolic_v1,ACAN_3280_49,SeqId.3280-49,Aggrecan,Aggrecan core protein,ACAN,SomaScan v4,319.0,ACAN,aggrecan,155760,ENSG00000157766,176.0,319,ACAN,155760,ENSG00000157766,176,Aggrecan core protein
AGER,AGER:Q15109:Inflammation,Q15109,320,AGER,600214,ENSG00000204305,177,OID20756,Advanced glycosylation end product-specific receptor,Olink Explore,Inflammation_v1,AGER_4125_52,SeqId.4125-52,sRAGE,"Advanced glycosylation end product-specific receptor, soluble",AGER,SomaScan v4,320.0,AGER,advanced glycosylation end-product specific receptor,600214,ENSG00000204305,177.0,320,AGER,600214,ENSG00000204305,177,Advanced glycosylation end product-specific receptor
AGR2,AGR2:O95994:Neurology,O95994,328,AGR2,606358,ENSG00000106541,10551,OID20896,Anterior gradient protein 2 homolog,Olink Explore,Neurology_v1,AGR2_4959_2,SeqId.4959-2,AGR2,Anterior gradient protein 2 homolog,AGR2,SomaScan v4,328.0,AGR2,"anterior gradient 2, protein disulphide isomerase family member",606358,ENSG00000106541,10551.0,328,AGR2,606358,ENSG00000106541,10551,Anterior gradient protein 2 homolog
AGRN,AGRN:O00468:Inflammation,O00468,329,AGRN,103320,ENSG00000188157,375790,OID20786,Agrin,Olink Explore,Inflammation_v1,AGRN_15483_377,SeqId.15483-377,Agrin,Agrin,AGRN,SomaScan v4,329.0,AGRN,agrin,103320,ENSG00000188157,375790.0,329,AGRN,103320,ENSG00000188157,375790,Agrin
AGRP,AGRP:O00253:Inflammation,O00253,330,AGRP,602311,ENSG00000159723,181,OID20658,Agouti-related protein,Olink Explore,Inflammation_v1,AGRP_2813_11,SeqId.2813-11,ART,Agouti-related protein,AGRP,SomaScan v4,330.0,AGRP,agouti related neuropeptide,602311,ENSG00000159723,181.0,330,AGRP,602311,ENSG00000159723,181,Agouti-related protein
AGT,AGT:P01019:Inflammation_II,P01019,333,AGT,106150,ENSG00000135744,183,OID30709,Angiotensinogen,Olink Explore,Inflammation_v1,AGT_3484_60,SeqId.3484-60,Angiotensinogen,Angiotensinogen,AGT,SomaScan v4,333.0,AGT,angiotensinogen,106150,ENSG00000135744,183.0,333,AGT,106150,ENSG00000135744,183,Angiotensinogen
AGXT,AGXT:P21549:Cardiometabolic,P21549,341,AGXT,604285,ENSG00000172482,189,OID20139,Serine--pyruvate aminotransferase,Olink Explore,Cardiometabolic_v1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,341,AGXT,604285,ENSG00000172482,189,Serine--pyruvate aminotransferase
AHCY,AHCY:P23526:Cardiometabolic,P23526,343,AHCY,180960,ENSG00000101444,191,OID20199,Adenosylhomocysteinase,Olink Explore,Cardiometabolic_v1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,343,AHCY,180960,ENSG00000101444,191,Adenosylhomocysteinase
AHNAK,AHNAK:Q09666:Cardiometabolic_II,Q09666,347,AHNAK,103390,ENSG00000124942,79026,OID30260,Neuroblast differentiation-associated protein AHNAK,Olink Explore,Cardiometabolic_v1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,347,AHNAK,103390,ENSG00000124942,79026,Neuroblast differentiation-associated protein AHNAK
AHSG,AHSG:P02765:Inflammation_II,P02765,349,AHSG,138680,ENSG00000145192,197,OID30706,Alpha-2-HS-glycoprotein,Olink Explore,Inflammation_v1,AHSG_3581_53,SeqId.3581-53,a2-HS-Glycoprotein,Alpha-2-HS-glycoprotein,AHSG,SomaScan v4,349.0,AHSG,alpha 2-HS glycoprotein,138680,ENSG00000145192,197.0,349,AHSG,138680,ENSG00000145192,197,Alpha-2-HS-glycoprotein
AIF1,AIF1:P55008:Oncology,P55008,352,AIF1,601833,ENSG00000204472,199,OID21234,Allograft inflammatory factor 1,Olink Explore,Oncology_v1,AIF1_2849_49,SeqId.2849-49,AIF1,Allograft inflammatory factor 1,AIF1,SomaScan v4,352.0,AIF1,allograft inflammatory factor 1,601833,ENSG00000204472,199.0,352,AIF1,601833,ENSG00000204472,199,Allograft inflammatory factor 1
