Protein,uniprot,UKBB_PPP_exposure,DECODE_exposure,UKBB_PPP_platform,DCODE_platform,UKBB_PPP_panel,DCODE_seqid,UKBB_PPP_oid,HGNC,Approved symbol,OMIM_Gene_ID,Ensembl_gene_ID,NCBI_Gene_ID,target_full_name
SERPINA3,P01011,SERPINA3:P01011:Inflammation_II,SERPINA3_2879_9,Olink Explore,SomaScan v4,Inflammation_v1,SeqId.2879-9,OID30786,16,SERPINA3,107280,ENSG00000196136,12,Alpha-1-antichymotrypsin
SERPINA3,P01011,SERPINA3:P01011:Inflammation_II,SERPINA3_4153_11,Olink Explore,SomaScan v4,Inflammation_v1,SeqId.4153-11,OID30786,16,SERPINA3,107280,ENSG00000196136,12,Alpha-1-antichymotrypsin
ABCA2,Q9BZC7,ABCA2:Q9BZC7:Cardiometabolic_II,0,Olink Explore,0,Cardiometabolic_v1,0,OID30146,32,ABCA2,600047,ENSG00000107331,20,ATP-binding cassette sub-family A member 2
ABL1,P00519,ABL1:P00519:Oncology,0,Olink Explore,0,Oncology_v1,0,OID21280,76,ABL1,189980,ENSG00000097007,25,Tyrosine-protein kinase ABL1
ABO,P16442,ABO:P16442:Inflammation_II,ABO_9253_52,Olink Explore,SomaScan v4,Inflammation_v1,SeqId.9253-52,OID30675,79,ABO,110300,ENSG00000175164,28,Histo-blood group ABO system transferase
AOC1,P19801,AOC1:P19801:Inflammation,AOC1_15486_126,Olink Explore,SomaScan v4,Inflammation_v1,SeqId.15486-126,OID20452,80,AOC1,104610,ENSG00000002726,26,Amiloride-sensitive amine oxidase [copper-containing]
ACAA1,P09110,ACAA1:P09110:Oncology,ACAA1_17782_23,Olink Explore,SomaScan v4,Oncology_v1,SeqId.17782-23,OID21269,82,ACAA1,604054,ENSG00000060971,30,"3-ketoacyl-CoA thiolase, peroxisomal"
ACADM,P11310,ACADM:P11310:Oncology_II,ACADM_17333_20,Olink Explore,SomaScan v4,Oncology_v1,SeqId.17333-20,OID31277,89,ACADM,607008,ENSG00000117054,34,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial"
ACADSB,P45954,ACADSB:P45954:Cardiometabolic_II,ACADSB_17403_14,Olink Explore,SomaScan v4,Cardiometabolic_v1,SeqId.17403-14,OID30356,91,ACADSB,600301,ENSG00000196177,36,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial"
ACHE,P22303,ACHE:P22303:Inflammation_II,ACHE_15553_22,Olink Explore,SomaScan v4,Inflammation_v1,SeqId.15553-22,OID30585,108,ACHE,100740,ENSG00000087085,43,Acetylcholinesterase
ACOX1,Q15067,ACOX1:Q15067:Cardiometabolic,0,Olink Explore,0,Cardiometabolic_v1,0,OID20124,119,ACOX1,609751,ENSG00000161533,51,Peroxisomal acyl-coenzyme A oxidase 1
ACP1,P24666,ACP1:P24666:Inflammation_II,ACP1_3858_5,Olink Explore,SomaScan v4,Inflammation_v1,SeqId.3858-5,OID30524,122,ACP1,171500,ENSG00000143727,52,Low molecular weight phosphotyrosine protein phosphatase
ACP5,P13686,ACP5:P13686:Cardiometabolic,0,Olink Explore,0,Cardiometabolic_v1,0,OID20314,124,ACP5,171640,ENSG00000102575,54,Tartrate-resistant acid phosphatase type 5
ACRV1,P26436,ACRV1:P26436:Inflammation_II,ACRV1_10507_166,Olink Explore,SomaScan v4,Inflammation_v1,SeqId.10507-166,OID30513,127,ACRV1,102525,ENSG00000134940,56,Acrosomal protein SP-10
ACRV1,P26436,ACRV1:P26436:Inflammation_II,ACRV1_15301_24,Olink Explore,SomaScan v4,Inflammation_v1,SeqId.15301-24,OID30513,127,ACRV1,102525,ENSG00000134940,56,Acrosomal protein SP-10
ACTA2,P62736,ACTA2:P62736:Cardiometabolic,0,Olink Explore,0,Cardiometabolic_v1,0,OID20079,130,ACTA2,102620,ENSG00000107796,59,"Actin, aortic smooth muscle"
ACTN2,P35609,ACTN2:P35609:Cardiometabolic_II,ACTN2_9844_138,Olink Explore,SomaScan v4,Cardiometabolic_v1,SeqId.9844-138,OID30192,164,ACTN2,102573,ENSG00000077522,88,Alpha-actinin-2
ACVRL1,P37023,ACVRL1:P37023:Neurology,ACVRL1_16318_12,Olink Explore,SomaScan v4,Neurology_v1,SeqId.16318-12,OID20999,175,ACVRL1,601284,ENSG00000139567,94,Serine/threonine-protein kinase receptor R3
ACY1,Q03154,ACY1:Q03154:Cardiometabolic,0,Olink Explore,0,Cardiometabolic_v1,0,OID20137,177,ACY1,104620,ENSG00000243989,95,Aminoacylase-1
ACYP1,P07311,ACYP1:P07311:Inflammation_II,0,Olink Explore,0,Inflammation_v1,0,OID30642,179,ACYP1,600875,ENSG00000119640,97,Acylphosphatase-1
ADA,P00813,ADA:P00813:Inflammation,0,Olink Explore,0,Inflammation_v1,0,OID20645,186,ADA,608958,ENSG00000196839,100,Adenosine deaminase
ADAM12,O43184,ADAM12:O43184:Inflammation_II,ADAM12_4420_7,Olink Explore,SomaScan v4,Inflammation_v1,SeqId.4420-7,OID30491,190,ADAM12,602714,ENSG00000148848,8038,Disintegrin and metalloproteinase domain-containing protein 12
ADAM15,Q13444,ADAM15:Q13444:Cardiometabolic,ADAM15_15455_40,Olink Explore,SomaScan v4,Cardiometabolic_v1,SeqId.15455-40,OID20109,193,ADAM15,605548,ENSG00000143537,8751,Disintegrin and metalloproteinase domain-containing protein 15
ADAM15,Q13444,ADAM15:Q13444:Cardiometabolic,ADAM15_9956_7,Olink Explore,SomaScan v4,Cardiometabolic_v1,SeqId.9956-7,OID20109,193,ADAM15,605548,ENSG00000143537,8751,Disintegrin and metalloproteinase domain-containing protein 15
ADAM22,Q9P0K1,ADAM22:Q9P0K1:Neurology,ADAM22_7933_75,Olink Explore,SomaScan v4,Neurology_v1,SeqId.7933-75,OID21001,201,ADAM22,603709,ENSG00000008277,53616,Disintegrin and metalloproteinase domain-containing protein 22
ADAM23,O75077,ADAM23:O75077:Inflammation,ADAM23_7049_2,Olink Explore,SomaScan v4,Inflammation_v1,SeqId.7049-2,OID20651,202,ADAM23,603710,ENSG00000114948,8745,Disintegrin and metalloproteinase domain-containing protein 23
ADAM8,P78325,ADAM8:P78325:Neurology,0,Olink Explore,0,Neurology_v1,0,OID21039,215,ADAM8,602267,ENSG00000151651,101,Disintegrin and metalloproteinase domain-containing protein 8
ADAM9,Q13443,ADAM9:Q13443:Oncology_II,ADAM9_3795_6,Olink Explore,SomaScan v4,Oncology_v1,SeqId.3795-6,OID31488,216,ADAM9,602713,ENSG00000168615,8754,Disintegrin and metalloproteinase domain-containing protein 9
ADAMTS1,Q9UHI8,ADAMTS1:Q9UHI8:Inflammation_II,ADAMTS1_3174_2,Olink Explore,SomaScan v4,Inflammation_v1,SeqId.3174-2,OID30528,217,ADAMTS1,605174,ENSG00000154734,9510,A disintegrin and metalloproteinase with thrombospondin motifs 1
ADAMTS4,O75173,ADAMTS4:O75173:Inflammation_II,ADAMTS4_2809_25,Olink Explore,SomaScan v4,Inflammation_v1,SeqId.2809-25,OID30471,220,ADAMTS4,603876,ENSG00000158859,9507,A disintegrin and metalloproteinase with thrombospondin motifs 4
ADAMTS8,Q9UP79,ADAMTS8:Q9UP79:Oncology,0,Olink Explore,0,Oncology_v1,0,OID21502,224,ADAMTS8,605175,ENSG00000134917,11095,A disintegrin and metalloproteinase with thrombospondin motifs 8
ADCYAP1R1,P41586,ADCYAP1R1:P41586:Oncology,0,Olink Explore,0,Oncology_v1,0,OID21188,242,ADCYAP1R1,102981,ENSG00000078549,117,Pituitary adenylate cyclase-activating polypeptide type I receptor
ADD1,P35611,ADD1:P35611:Inflammation_II,0,Olink Explore,0,Inflammation_v1,0,OID30655,243,ADD1,102680,ENSG00000087274,118,Alpha-adducin
ADH1B,P00325,ADH1B:P00325:Inflammation_II,ADH1B_9834_62,Olink Explore,SomaScan v4,Inflammation_v1,SeqId.9834-62,OID30612,250,ADH1B,103720,ENSG00000196616,125,All-trans-retinol dehydrogenase
ADH4,P08319,ADH4:P08319:Cardiometabolic,ADH4_8325_37,Olink Explore,SomaScan v4,Cardiometabolic_v1,SeqId.8325-37,OID20117,252,ADH4,103740,ENSG00000198099,127,All-trans-retinol dehydrogenase [NAD(+)] ADH4
ADM,P35318,ADM:P35318:Oncology,ADM_14115_34,Olink Explore,SomaScan v4,Oncology_v1,SeqId.14115-34,OID21467,259,ADM,103275,ENSG00000148926,133,Pro-adrenomedullin
ADM,P35318,ADM:P35318:Oncology,ADM_7922_5,Olink Explore,SomaScan v4,Oncology_v1,SeqId.7922-5,OID21467,259,ADM,103275,ENSG00000148926,133,Pro-adrenomedullin
PARP1,P09874,PARP1:P09874:Inflammation,PARP1_10534_40,Olink Explore,SomaScan v4,Inflammation_v1,SeqId.10534-40,OID20500,270,PARP1,173870,ENSG00000143799,142,Poly [ADP-ribose] polymerase 1
PARP1,P09874,PARP1:P09874:Inflammation,PARP1_8893_29,Olink Explore,SomaScan v4,Inflammation_v1,SeqId.8893-29,OID20500,270,PARP1,173870,ENSG00000143799,142,Poly [ADP-ribose] polymerase 1
AFM,P43652,AFM:P43652:Inflammation_II,0,Olink Explore,0,Inflammation_v1,0,OID30741,316,AFM,104145,ENSG00000079557,173,Afamin
AFP,P02771,AFP:P02771:Neurology,AFP_5792_8,Olink Explore,SomaScan v4,Neurology_v1,SeqId.5792-8,OID20978,317,AFP,104150,ENSG00000081051,174,Alpha-fetoprotein
ACAN,P16112,ACAN:P16112:Cardiometabolic,ACAN_3280_49,Olink Explore,SomaScan v4,Cardiometabolic_v1,SeqId.3280-49,OID20159,319,ACAN,155760,ENSG00000157766,176,Aggrecan core protein
AGER,Q15109,AGER:Q15109:Inflammation,AGER_4125_52,Olink Explore,SomaScan v4,Inflammation_v1,SeqId.4125-52,OID20756,320,AGER,600214,ENSG00000204305,177,Advanced glycosylation end product-specific receptor
AGR2,O95994,AGR2:O95994:Neurology,AGR2_4959_2,Olink Explore,SomaScan v4,Neurology_v1,SeqId.4959-2,OID20896,328,AGR2,606358,ENSG00000106541,10551,Anterior gradient protein 2 homolog
AGRN,O00468,AGRN:O00468:Inflammation,AGRN_15483_377,Olink Explore,SomaScan v4,Inflammation_v1,SeqId.15483-377,OID20786,329,AGRN,103320,ENSG00000188157,375790,Agrin
AGRP,O00253,AGRP:O00253:Inflammation,AGRP_2813_11,Olink Explore,SomaScan v4,Inflammation_v1,SeqId.2813-11,OID20658,330,AGRP,602311,ENSG00000159723,181,Agouti-related protein
AGT,P01019,AGT:P01019:Inflammation_II,AGT_3484_60,Olink Explore,SomaScan v4,Inflammation_v1,SeqId.3484-60,OID30709,333,AGT,106150,ENSG00000135744,183,Angiotensinogen
AGXT,P21549,AGXT:P21549:Cardiometabolic,0,Olink Explore,0,Cardiometabolic_v1,0,OID20139,341,AGXT,604285,ENSG00000172482,189,Serine--pyruvate aminotransferase
AHCY,P23526,AHCY:P23526:Cardiometabolic,0,Olink Explore,0,Cardiometabolic_v1,0,OID20199,343,AHCY,180960,ENSG00000101444,191,Adenosylhomocysteinase
AHNAK,Q09666,AHNAK:Q09666:Cardiometabolic_II,0,Olink Explore,0,Cardiometabolic_v1,0,OID30260,347,AHNAK,103390,ENSG00000124942,79026,Neuroblast differentiation-associated protein AHNAK
AHSG,P02765,AHSG:P02765:Inflammation_II,AHSG_3581_53,Olink Explore,SomaScan v4,Inflammation_v1,SeqId.3581-53,OID30706,349,AHSG,138680,ENSG00000145192,197,Alpha-2-HS-glycoprotein
AIF1,P55008,AIF1:P55008:Oncology,AIF1_2849_49,Olink Explore,SomaScan v4,Oncology_v1,SeqId.2849-49,OID21234,352,AIF1,601833,ENSG00000204472,199,Allograft inflammatory factor 1
AK1,P00568,AK1:P00568:Cardiometabolic,AK1_5012_67,Olink Explore,SomaScan v4,Cardiometabolic_v1,SeqId.5012-67,OID20122,361,AK1,103000,ENSG00000106992,203,Adenylate kinase isoenzyme 1
AK2,P54819,AK2:P54819:Neurology_II,AK2_11368_32,Olink Explore,SomaScan v4,Neurology_v1,SeqId.11368-32,OID31142,362,AK2,103020,ENSG00000004455,204,"Adenylate kinase 2, mitochondrial"
AKAP12,Q02952,AKAP12:Q02952:Inflammation_II,0,Olink Explore,0,Inflammation_v1,0,OID30571,370,AKAP12,604698,ENSG00000131016,9590,A-kinase anchor protein 12
AKR1B1,P15121,AKR1B1:P15121:Oncology,AKR1B1_16606_85,Olink Explore,SomaScan v4,Oncology_v1,SeqId.16606-85,OID21244,381,AKR1B1,103880,ENSG00000085662,231,Aldo-keto reductase family 1 member B1
AKR1C4,P17516,AKR1C4:P17516:Cardiometabolic,AKR1C4_18397_5,Olink Explore,SomaScan v4,Cardiometabolic_v1,SeqId.18397-5,OID20062,387,AKR1C4,600451,ENSG00000198610,1109,Aldo-keto reductase family 1 member C4
AKT2,P31751,AKT2:P31751:Neurology_II,AKT2_14685_17,Olink Explore,SomaScan v4,Neurology_v1,SeqId.14685-17,OID31052,392,AKT2,164731,ENSG00000105221,208,RAC-beta serine/threonine-protein kinase
AKT2,P31751,AKT2:P31751:Neurology_II,AKT2_5360_9,Olink Explore,SomaScan v4,Neurology_v1,SeqId.5360-9,OID31052,392,AKT2,164731,ENSG00000105221,208,RAC-beta serine/threonine-protein kinase
AKT3,Q9Y243,AKT3:Q9Y243:Oncology,0,Olink Explore,0,Oncology_v1,0,OID21197,393,AKT3,611223,ENSG00000117020,10000,RAC-gamma serine/threonine-protein kinase
ALCAM,Q13740,ALCAM:Q13740:Cardiometabolic,ALCAM_5451_1,Olink Explore,SomaScan v4,Cardiometabolic_v1,SeqId.5451-1,OID20273,400,ALCAM,601662,ENSG00000170017,214,CD166 antigen
ALDH1A1,P00352,ALDH1A1:P00352:Neurology,ALDH1A1_11265_8,Olink Explore,SomaScan v4,Neurology_v1,SeqId.11265-8,OID21128,402,ALDH1A1,100640,ENSG00000165092,216,Retinal dehydrogenase 1
ALDH2,P05091,ALDH2:P05091:Oncology_II,ALDH2_18381_16,Olink Explore,SomaScan v4,Oncology_v1,SeqId.18381-16,OID31380,404,ALDH2,100650,ENSG00000111275,217,"Aldehyde dehydrogenase, mitochondrial"
ALDH3A1,P30838,ALDH3A1:P30838:Inflammation,ALDH3A1_11480_1,Olink Explore,SomaScan v4,Inflammation_v1,SeqId.11480-1,OID20512,405,ALDH3A1,100660,ENSG00000108602,218,"Aldehyde dehydrogenase, dimeric NADP-preferring"
ALDH5A1,P51649,ALDH5A1:P51649:Neurology_II,ALDH5A1_17792_158,Olink Explore,SomaScan v4,Neurology_v1,SeqId.17792-158,OID31047,408,ALDH5A1,610045,ENSG00000112294,7915,"Succinate-semialdehyde dehydrogenase, mitochondrial"
ALMS1,Q8TCU4,ALMS1:Q8TCU4:Oncology_II,0,Olink Explore,0,Oncology_v1,0,OID31275,428,ALMS1,606844,ENSG00000116127,7840,Alstrom syndrome protein 1
ALPI,P09923,ALPI:P09923:Inflammation_II,ALPI_17441_4,Olink Explore,SomaScan v4,Inflammation_v1,SeqId.17441-4,OID30497,437,ALPI,171740,ENSG00000163295,248,Intestinal-type alkaline phosphatase
ALPP,P05187,ALPP:P05187:Oncology,0,Olink Explore,0,Oncology_v1,0,OID21383,439,ALPP,171800,ENSG00000163283,250,"Alkaline phosphatase, placental type"
AMBN,Q9NP70,AMBN:Q9NP70:Inflammation,0,Olink Explore,0,Inflammation_v1,0,OID20437,452,AMBN,601259,ENSG00000178522,258,Ameloblastin
AMBP,P02760,AMBP:P02760:Oncology,0,Olink Explore,0,Oncology_v1,0,OID21413,453,AMBP,176870,ENSG00000106927,259,Protein AMBP
AMFR,Q9UKV5,AMFR:Q9UKV5:Neurology,0,Olink Explore,0,Neurology_v1,0,OID20806,463,AMFR,603243,ENSG00000159461,267,E3 ubiquitin-protein ligase AMFR
AMPD3,Q01432,AMPD3:Q01432:Neurology_II,0,Olink Explore,0,Neurology_v1,0,OID31139,470,AMPD3,102772,ENSG00000133805,272,AMP deaminase 3
AMY2A,P04746,AMY2A:P04746:Cardiometabolic,AMY2A_18917_53,Olink Explore,SomaScan v4,Cardiometabolic_v1,SeqId.18917-53,OID20333,477,AMY2A,104650,ENSG00000243480,279,Pancreatic alpha-amylase
AMY2B,P19961,AMY2B:P19961:Cardiometabolic,AMY2B_15556_49,Olink Explore,SomaScan v4,Cardiometabolic_v1,SeqId.15556-49,OID20340,478,AMY2B,104660,ENSG00000240038,280,Alpha-amylase 2B
ANG,P03950,ANG:P03950:Cardiometabolic,0,Olink Explore,0,Cardiometabolic_v1,0,OID20403,483,ANG,105850,ENSG00000214274,283,Angiogenin
ANGPT1,Q15389,ANGPT1:Q15389:Inflammation,ANGPT1_2811_27,Olink Explore,SomaScan v4,Inflammation_v1,SeqId.2811-27,OID20740,484,ANGPT1,601667,ENSG00000154188,284,Angiopoietin-1
ANGPT2,O15123,ANGPT2:O15123:Oncology,ANGPT2_2602_2,Olink Explore,SomaScan v4,Oncology_v1,SeqId.2602-2,OID21463,485,ANGPT2,601922,ENSG00000091879,285,Angiopoietin-2
ANGPTL1,O95841,ANGPTL1:O95841:Cardiometabolic,ANGPTL1_11142_11,Olink Explore,SomaScan v4,Cardiometabolic_v1,SeqId.11142-11,OID20211,489,ANGPTL1,603874,ENSG00000116194,9068,Angiopoietin-related protein 1
ANGPTL1,O95841,ANGPTL1:O95841:Cardiometabolic,ANGPTL1_9092_33,Olink Explore,SomaScan v4,Cardiometabolic_v1,SeqId.9092-33,OID20211,489,ANGPTL1,603874,ENSG00000116194,9068,Angiopoietin-related protein 1
ANGPTL2,Q9UKU9,ANGPTL2:Q9UKU9:Inflammation,0,Olink Explore,0,Inflammation_v1,0,OID20726,490,ANGPTL2,605001,ENSG00000136859,23452,Angiopoietin-related protein 2
ANGPTL3,Q9Y5C1,ANGPTL3:Q9Y5C1:Cardiometabolic,ANGPTL3_10391_1,Olink Explore,SomaScan v4,Cardiometabolic_v1,SeqId.10391-1,OID20407,491,ANGPTL3,604774,ENSG00000132855,27329,Angiopoietin-related protein 3
ANK2,Q01484,ANK2:Q01484:Cardiometabolic_II,ANK2_7624_19,Olink Explore,SomaScan v4,Cardiometabolic_v1,SeqId.7624-19,OID30161,493,ANK2,106410,ENSG00000145362,287,Ankyrin-2
RIPK4,P57078,RIPK4:P57078:Cardiometabolic_II,0,Olink Explore,0,Cardiometabolic_v1,0,OID30138,496,RIPK4,605706,ENSG00000183421,54101,Receptor-interacting serine/threonine-protein kinase 4
ANPEP,P15144,ANPEP:P15144:Cardiometabolic,ANPEP_15457_14,Olink Explore,SomaScan v4,Cardiometabolic_v1,SeqId.15457-14,OID20350,500,ANPEP,151530,ENSG00000166825,290,Aminopeptidase N
ANXA1,P04083,ANXA1:P04083:Inflammation_II,0,Olink Explore,0,Inflammation_v1,0,OID30617,533,ANXA1,151690,ENSG00000135046,301,Annexin A1
ANXA10,Q9UJ72,ANXA10:Q9UJ72:Neurology,ANXA10_13605_16,Olink Explore,SomaScan v4,Neurology_v1,SeqId.13605-16,OID20886,534,ANXA10,608008,ENSG00000109511,11199,Annexin A10
ANXA11,P50995,ANXA11:P50995:Inflammation,ANXA11_17513_11,Olink Explore,SomaScan v4,Inflammation_v1,SeqId.17513-11,OID20583,535,ANXA11,602572,ENSG00000122359,311,Annexin A11
ANXA2,P07355,ANXA2:P07355:Cardiometabolic_II,ANXA2_13700_10,Olink Explore,SomaScan v4,Cardiometabolic_v1,SeqId.13700-10,OID30263,537,ANXA2,151740,ENSG00000182718,302,Annexin A2
ANXA2,P07355,ANXA2:P07355:Cardiometabolic_II,ANXA2_4961_17,Olink Explore,SomaScan v4,Cardiometabolic_v1,SeqId.4961-17,OID30263,537,ANXA2,151740,ENSG00000182718,302,Annexin A2
ANXA3,P12429,ANXA3:P12429:Neurology,ANXA3_17163_117,Olink Explore,SomaScan v4,Neurology_v1,SeqId.17163-117,OID21036,541,ANXA3,106490,ENSG00000138772,306,Annexin A3
ANXA4,P09525,ANXA4:P09525:Cardiometabolic,ANXA4_17164_15,Olink Explore,SomaScan v4,Cardiometabolic_v1,SeqId.17164-15,OID20123,542,ANXA4,106491,ENSG00000196975,307,Annexin A4
ANXA5,P08758,ANXA5:P08758:Neurology,ANXA5_14158_17,Olink Explore,SomaScan v4,Neurology_v1,SeqId.14158-17,OID20810,543,ANXA5,131230,ENSG00000164111,308,Annexin A5
AOC3,Q16853,AOC3:Q16853:Cardiometabolic,0,Olink Explore,0,Cardiometabolic_v1,0,OID20389,550,AOC3,603735,ENSG00000131471,8639,Membrane primary amine oxidase
AP1G2,O75843,AP1G2:O75843:Oncology_II,AP1G2_12714_38,Olink Explore,SomaScan v4,Oncology_v1,SeqId.12714-38,OID31348,556,AP1G2,603534,ENSG00000213983,8906,AP-1 complex subunit gamma-like 2
AP2B1,P63010,AP2B1:P63010:Neurology_II,0,Olink Explore,0,Neurology_v1,0,OID30949,563,AP2B1,601025,ENSG00000006125,163,AP-2 complex subunit beta
AP3B1,O00203,AP3B1:O00203:Oncology_II,0,Olink Explore,0,Oncology_v1,0,OID31478,566,AP3B1,603401,ENSG00000132842,8546,AP-3 complex subunit beta-1
AP3S2,P59780,AP3S2:P59780:Neurology_II,0,Olink Explore,0,Neurology_v1,0,OID31117,571,AP3S2,602416,ENSG00000157823,10239,AP-3 complex subunit sigma-2
APCS,P02743,APCS:P02743:Inflammation_II,0,Olink Explore,0,Inflammation_v1,0,OID30778,584,APCS,104770,ENSG00000132703,325,Serum amyloid P-component
APEX1,P27695,APEX1:P27695:Oncology,APEX1_9849_13,Olink Explore,SomaScan v4,Oncology_v1,SeqId.9849-13,OID21434,587,APEX1,107748,ENSG00000100823,328,DNA-(apurinic or apyrimidinic site) endonuclease
BIRC2,Q13490,BIRC2:Q13490:Oncology,BIRC2_10046_55,Olink Explore,SomaScan v4,Oncology_v1,SeqId.10046-55,OID21217,590,BIRC2,601712,ENSG00000110330,329,Baculoviral IAP repeat-containing protein 2
XIAP,P98170,XIAP:P98170:Inflammation_II,0,Olink Explore,0,Inflammation_v1,0,OID30490,592,XIAP,300079,ENSG00000101966,331,E3 ubiquitin-protein ligase XIAP
APLP1,P51693,APLP1:P51693:Cardiometabolic,APLP1_7210_25,Olink Explore,SomaScan v4,Cardiometabolic_v1,SeqId.7210-25,OID20164,597,APLP1,104775,ENSG00000105290,333,Amyloid-like protein 1
APOA1,P02647,APOA1:P02647:Inflammation_II,APOA1_2750_3,Olink Explore,SomaScan v4,Inflammation_v1,SeqId.2750-3,OID30769,600,APOA1,107680,ENSG00000118137,335,Apolipoprotein A-I
APOA2,P02652,APOA2:P02652:Inflammation_II,APOA2_7127_3,Olink Explore,SomaScan v4,Inflammation_v1,SeqId.7127-3,OID30686,601,APOA2,107670,ENSG00000158874,336,Apolipoprotein A-II
APOA4,P06727,APOA4:P06727:Inflammation_II,APOA4_17685_9,Olink Explore,SomaScan v4,Inflammation_v1,SeqId.17685-9,OID30733,602,APOA4,107690,ENSG00000110244,337,Apolipoprotein A-IV
APOC1,P02654,APOC1:P02654:Inflammation_II,APOC1_15364_101,Olink Explore,SomaScan v4,Inflammation_v1,SeqId.15364-101,OID30749,607,APOC1,107710,ENSG00000130208,341,Apolipoprotein C-I
APOD,P05090,APOD:P05090:Inflammation_II,APOD_4712_28,Olink Explore,SomaScan v4,Inflammation_v1,SeqId.4712-28,OID30746,612,APOD,107740,ENSG00000189058,347,Apolipoprotein D
APOE,P02649,APOE:P02649:Inflammation_II,APOE_2418_55,Olink Explore,SomaScan v4,Inflammation_v1,SeqId.2418-55,OID30727,613,APOE,107741,ENSG00000130203,348,Apolipoprotein E
APOF,Q13790,APOF:Q13790:Inflammation_II,APOF_12370_30,Olink Explore,SomaScan v4,Inflammation_v1,SeqId.12370-30,OID30701,615,APOF,107760,ENSG00000175336,319,Apolipoprotein F
APOH,P02749,APOH:P02749:Neurology,APOH_8288_27,Olink Explore,SomaScan v4,Neurology_v1,SeqId.8288-27,OID21072,616,APOH,138700,ENSG00000091583,350,Beta-2-glycoprotein 1
APOL1,O14791,APOL1:O14791:Inflammation_II,APOL1_11510_31,Olink Explore,SomaScan v4,Inflammation_v1,SeqId.11510-31,OID30708,618,APOL1,603743,ENSG00000100342,8542,Apolipoprotein L1
